BoroCT2010,LotArea,FootPrint,FloorSpace,AssessLand
1014401,513817.0,339895.486665,3504925.0,76931018.0
1014402,1393735.0,544619.836714,4458112.0,169368403.0
1014500,1101533.0,854875.953168,10048751.0,415492051.0
1014601,500999.0,408377.202641,2808132.0,85366306.0
1014602,753490.0,545608.532701,5137124.0,102265132.0
1014700,462238.0,351656.819361,3247900.0,71386124.0
1014801,336977.0,257166.0388,2916329.0,62512527.0
1014802,828345.0,663441.841243,5829209.0,117427184.0
1014900,1221302.0,784319.568176,6340265.0,536630984.0
1015001,331035.0,259951.907357,2826748.0,83174994.0
1015002,814025.0,593274.283117,7035532.0,184096825.0
1015100,1439642.0,870603.334175,8253541.0,187752535.0
1015200,1240371.0,482825.312689,4323430.0,147422818.0
1015300,1148331.0,903234.944161,9207380.0,322910072.0
1015400,1337999.0,806244.171123,8079585.0,170359799.0
1015500,1211461.0,407737.491834,7855483.0,162827564.0
1015601,477177.0,319253.342036,2961212.0,63601276.0
1015602,765512.0,283113.682695,2196416.0,24788729.0
1015700,1252110.0,921826.521429,8180370.0,243292818.0
1015801,829319.0,563474.688843,4525345.0,89926673.0
1015802,269395.0,181195.946423,2060738.0,13990188.0
1015900,980518.0,692221.741059,7620381.0,159835287.0
1016001,829145.0,644391.340955,4959651.0,162514814.0
1016002,300199.0,228569.511725,1899608.0,18270917.0
1016100,1121852.0,761549.06825,4947354.0,190622481.0
1016200,1765468.0,638805.035312,4965625.0,40551300.0
1016300,1296416.0,673183.13162,5812860.0,197691115.0
1016400,1254893.0,478153.47335,3399891.0,27292364.0
1016500,1549506.0,896184.996859,6118406.0,320488311.0
1016600,1040464.0,669303.737904,3087576.0,25406221.0
1016700,4111922.0,614436.59728,5496694.0,226526720.0
1016800,1339748.0,664782.957291,6967146.0,85748012.0
1016900,1298588.0,904508.299764,6014274.0,165239084.0
1017000,1230078.0,558603.702105,3661477.0,30042755.0
1017100,993166.0,751428.29508,6628053.0,175923920.0
1017200,995466.0,611746.345482,2966523.0,22380455.0
1017300,1236692.0,825786.726857,6381697.0,160354316.0
1017401,625110.0,331417.657719,2607366.0,35110735.0
1017402,212148.0,141436.680314,1144661.0,14679404.0
1017500,2004967.0,696876.28439,7161101.0,219430603.0
1017700,1287135.0,776585.386477,6834448.0,162979337.0
1017800,1656397.0,774656.761171,3515111.0,40346419.0
1017900,1889249.0,635775.542835,5596247.0,163508196.0
1018000,1453936.0,598309.794091,3165779.0,30517446.0
1018100,944176.0,572877.342984,6278983.0,80362765.0
1018200,1162641.0,617149.155143,3275727.0,29246132.0
1018300,826696.0,623146.847304,5078918.0,109750072.0
1018400,1185446.0,472928.779057,3331765.0,28395013.0
1018500,938243.0,349423.051668,4364684.0,50727652.0
1018600,884647.0,291543.688959,1626810.0,17516711.0
1018700,891957.0,641640.389645,5684674.0,59116187.0
1018800,918652.0,638589.441574,2882509.0,21312580.0
1018900,1909164.0,775598.062884,4980014.0,62370444.0
1019000,681794.0,432763.649835,2249608.0,13476779.0
1019100,851570.0,630368.296961,5609307.0,57721739.0
1019200,1010602.0,235983.814329,1113774.0,12804608.0
1019300,1112312.0,686136.460923,4354936.0,53157630.0
1019400,1184109.0,529052.057441,3348208.0,21770260.0
1019500,3680053.0,616026.318733,4838122.0,73556153.0
1019600,992447.0,657744.770991,3274389.0,23885198.0
1019701,1946554.0,272032.302712,14454035.0,41190300.0
1019702,317364.0,171961.821173,1063530.0,13476633.0
1019800,1562842.0,482130.942287,2236492.0,25421576.0
1019900,926524.0,664508.641478,5324799.0,58840469.0
1020000,810318.0,585144.882795,2417859.0,17870572.0
1020101,363012.0,306947.520351,2357203.0,13661550.0
1020102,505955.0,349766.639764,1960911.0,14170696.0
1020300,1427937.0,685798.502035,4127486.0,50689350.0
1020500,3557358.0,480768.766626,4263676.0,49305599.0
1020600,846231.0,550110.332933,2303796.0,22573240.0
1020701,306206.0,209635.064682,1635010.0,6934950.0
1020800,961548.0,579961.561745,2631041.0,17271002.0
1020901,734553.0,295192.633207,1833194.0,14483048.0
1021000,993159.0,264080.703028,2579201.0,14932350.0
1021100,4322156.0,732746.137012,5656803.0,50664199.0
1021200,1280445.0,658227.722656,5359576.0,34651810.0
1021303,1035499.0,694176.008813,2887683.0,22068795.0
1021400,1003585.0,316620.738894,1841642.0,9839700.0
1021500,391072.0,240326.284181,1763854.0,11104572.0
1021600,1045582.0,713126.399587,3963895.0,35895152.0
1021703,2448968.0,733007.344443,2841448.0,53671050.0
1021800,1099084.0,730507.054111,3840513.0,25280842.0
1021900,1393742.0,706999.475039,3491791.0,24809485.0
1022000,1152350.0,756398.694142,3268467.0,20276975.0
1022102,544341.0,366154.208518,1572542.0,10203769.0
1022200,1129682.0,867303.587228,3891147.0,45394796.0
1022301,1171789.0,543824.108381,2680823.0,19834801.0
1022302,576662.0,216685.375029,681968.0,9966600.0
1022400,1107091.0,592901.735245,2864741.0,19836885.0
1022500,956685.0,644781.155429,4104616.0,13960917.0
1022600,927397.0,584693.871974,2505835.0,16020564.0
1022700,978306.0,649676.569557,2968000.0,14309687.0
1022800,1127654.0,725028.184314,3150300.0,21321245.0
1022900,862456.0,614065.856887,3396690.0,13030573.0
1023000,1123206.0,675521.619183,3808146.0,25981741.0
1023100,1486116.0,623548.327297,2969593.0,17367976.0
1023200,1117427.0,680817.124563,3654544.0,25196992.0
1023300,1776946.0,594437.550108,2834093.0,14559666.0
1023400,731791.0,495983.300649,2874462.0,33263458.0
1023501,1415771.0,559547.851912,2966630.0,15882448.0
1023502,236222.0,169982.357456,849431.0,4384779.0
1023600,1668726.0,641394.077322,3851351.0,25710956.0
1023700,1519465.0,588088.750109,2923015.0,14980906.0
1023801,5260781.0,1235375.17733,8154582.0,195934045.0
1023802,4721863.0,899705.287481,5448239.0,174290400.0
1023900,397710.0,202629.614418,1127465.0,7160426.0
1024000,13300030.0,602297.303092,95823.0,26655300.0
1024100,942603.0,637715.208243,4212968.0,21432411.0
1024200,1120551.0,623972.773199,2821712.0,25910131.0
1024301,646725.0,371359.147678,1733254.0,10817859.0
1024302,1511932.0,251037.486807,3474856.0,23721750.0
1024500,1349334.0,935185.590149,5202223.0,23767111.0
1024700,1037686.0,638715.708285,3820496.0,16889027.0
1024900,336260.0,169046.404076,721725.0,6379236.0
1025100,940641.0,671656.764866,5823440.0,21186610.0
1025300,1053406.0,759214.688832,3836131.0,18516936.0
1025500,1700972.0,992581.477842,10696037.0,39597300.0
1025700,878782.0,637817.044382,3119889.0,29267189.0
1025900,422454.0,303305.923034,1946698.0,10303355.0
1026100,904624.0,650002.479507,3653784.0,14406032.0
1026300,856235.0,647565.387851,3483310.0,17652776.0
1026500,841065.0,636640.40636,3298287.0,13534200.0
1026700,311219.0,188632.988223,1085783.0,4138650.0
1026900,1045186.0,779871.84125,3287908.0,17533997.0
1027100,1231042.0,842600.800207,3800168.0,27945650.0
1027300,1169158.0,659428.771651,3621106.0,19295572.0
1027500,2452774.0,249946.235775,1906546.0,26362715.0
1027700,1164483.0,575038.668606,3096913.0,15927300.0
1027900,1087391.0,710867.236223,3871030.0,14697358.0
1028100,3340862.0,287164.006412,1637047.0,51596290.0
1028300,1048976.0,491308.039916,3239107.0,12773028.0
1028500,785752.0,529864.699713,2534585.0,11997250.0
1028700,5440877.0,569256.960167,2205953.0,75888450.0
1029100,1279075.0,810401.758444,3734774.0,17196746.0
1029300,1025263.0,686516.641454,2874667.0,13569692.0
1029500,919927.0,578961.348272,3147097.0,14263734.0
1029700,1237200.0,198328.859776,626645.0,22588200.0
1029900,2272989.0,1036647.2729,2600722.0,26692650.0
1030300,644253.0,440706.660065,2391498.0,9927108.0
1030700,538931.0,328802.852364,1927529.0,7840913.0
1030900,3206056.0,1143879.60069,4421944.0,47308454.0
1031100,3301550.0,36664.2088623,60358.0,23717700.0
1031703,976960.0,816224.43331,15189612.0,345826813.0
1031704,1839642.0,592162.697934,7217191.0,277360711.0
1031900,945425.0,40707.4851031,945425.0,127100700.0
2000100,17825000.0,3627904.49173,5502107.0,87499350.0
2000200,2347495.0,1016219.7442,1689098.0,7543580.0
2000400,4092933.0,1156560.05168,2278495.0,15685055.0
2001600,2908510.0,858366.371855,3750627.0,13252973.0
2001900,6351608.0,3588365.63287,7372384.0,31666933.0
2002000,2970672.0,935822.272274,2998962.0,14060236.0
2002300,821949.0,176529.575061,2638633.0,3489630.0
2002500,776854.0,407071.703299,2873648.0,3917177.0
2002701,527127.0,189715.107798,1448132.0,2408069.0
2002702,937093.0,586334.20007,1783412.0,4949377.0
2002800,1850527.0,516664.395224,3113346.0,11177596.0
2003100,700135.0,517351.165365,1267637.0,3985734.0
2003300,818024.0,454139.896563,1739192.0,3713518.0
2003500,930107.0,566990.833158,1851141.0,5059059.0
2003700,1551204.0,45827.2092478,155999.0,10711155.0
2003800,405320.0,160584.224448,391900.0,1673791.0
2003900,1403292.0,730839.350968,2850887.0,7125706.0
2004001,863039.0,327182.615687,875300.0,4525802.0
2004100,1271460.0,501104.954531,2494931.0,5503031.0
2004200,3688276.0,859409.264092,3733621.0,22524998.0
2004300,1470839.0,826393.218988,3085724.0,9008690.0
2004400,1867168.0,380011.959936,1736272.0,8761471.0
2004600,924264.0,281727.582588,762579.0,5027486.0
2004800,697883.0,368018.056631,1465566.0,4513733.0
2005001,722703.0,410381.970107,1645362.0,3885895.0
2005002,812519.0,550894.848853,1893097.0,7675202.0
2005100,2678920.0,1356479.69545,4433663.0,14982044.0
2005200,1136706.0,661352.079137,1394476.0,7000756.0
2005300,856800.0,84681.6995831,1597950.0,7711200.0
2005400,1339577.0,806267.072713,2094530.0,9954553.0
2005600,923910.0,399508.164907,1149505.0,8161268.0
2005902,402101.0,251886.201099,1414737.0,2456512.0
2006000,630986.0,370657.790098,799882.0,4146579.0
2006100,1691641.0,666807.455094,3373435.0,12787200.0
2006200,1237681.0,445382.299821,2432834.0,8245915.0
2006300,5095327.0,2814232.58181,9944010.0,138771200.0
2006400,998761.0,483506.7129,1398055.0,6899893.0
2006500,1792052.0,1137606.49843,5149716.0,18133339.0
2006700,1414820.0,646560.246724,3185383.0,9576640.0
2006800,968310.0,411593.964868,1109129.0,7432385.0
2006900,1315289.0,550345.797676,2831870.0,6852406.0
2007000,1453165.0,699093.902236,1594096.0,8424966.0
2007100,1303898.0,702565.835959,2338020.0,16905228.0
2007200,1365532.0,677608.725202,1932569.0,8288721.0
2007300,922321.0,441808.047568,2000105.0,5445130.0
2007400,1434410.0,387775.621564,1719814.0,6104992.0
2007500,1393563.0,623053.029516,3104988.0,7395225.0
2007600,1417842.0,765169.973549,2019314.0,9598211.0
2007700,759153.0,398910.93086,1111040.0,3691943.0
2007800,1943465.0,915447.234821,2544378.0,11017130.0
2007900,1232439.0,518937.700397,2668330.0,7159455.0
2008300,1388798.0,822489.975778,2533437.0,8272938.0
2008400,1074138.0,383373.250839,882153.0,3978747.0
2008500,1201594.0,742893.141642,2441875.0,7698592.0
2008600,1472413.0,293710.885401,1602293.0,8268735.0
2008700,1347400.0,599858.764143,2538322.0,7090912.0
2008900,640213.0,404586.534749,1633329.0,4784664.0
2009000,5776049.0,2167327.47351,3353634.0,32989057.0
2009200,1788642.0,898777.774618,2151622.0,12726153.0
2009300,11632383.0,6354284.84232,9494970.0,69478889.0
2009600,4629748.0,2185614.59477,3277058.0,24526129.0
2009800,3001176.0,1053444.24131,2555988.0,11464785.0
2011000,7339481.0,134654.245485,117514.0,57615154.0
2011502,1519158.0,967609.782448,2216271.0,8725253.0
2011700,8406952.0,2197379.53857,2858332.0,23115603.0
2011800,11394554.0,1808011.70875,2652106.0,27595782.0
2011900,1120544.0,610202.212365,2190386.0,10897711.0
2012101,720923.0,414802.414053,1204006.0,3526091.0
2012102,285030.0,211409.622326,595941.0,2277670.0
2012300,1095165.0,588726.694777,2218226.0,7677911.0
2012500,938826.0,525593.873653,1642376.0,4947576.0
2012701,630255.0,334089.348614,1229613.0,4322962.0
2012901,931289.0,514967.38446,1907471.0,6603440.0
2013000,720160.0,265544.862323,538394.0,3681024.0
2013100,1386594.0,666224.062935,2307162.0,8003439.0
2013200,4343914.0,1432185.27255,2959894.0,19891556.0
2013300,1242365.0,364771.442278,2754326.0,6733175.0
2013500,1123075.0,398656.983532,1826739.0,5568049.0
2013800,3712902.0,979748.959735,824398.0,7215223.0
2014100,825649.0,489380.90508,2815139.0,9181118.0
2014300,453726.0,353516.223251,1160043.0,4035375.0
2014400,3005433.0,616535.337466,2960084.0,12701904.0
2014500,1163645.0,531354.270272,2635325.0,7059298.0
2014701,1019684.0,297744.759002,2480014.0,4638600.0
2014702,890088.0,211664.122538,1867794.0,6291450.0
2014900,1080859.0,518495.286585,2403639.0,5913988.0
2015100,1274877.0,664660.941417,2392190.0,6021653.0
2015200,1727491.0,695858.13689,1190640.0,12399780.0
2015300,1474896.0,581222.726519,1848741.0,5799844.0
2015500,711809.0,377010.774698,1443574.0,4570479.0
2015700,1248988.0,696573.22193,1806321.0,6091510.0
2015800,1081622.0,453332.389819,1092254.0,8329700.0
2015900,729808.0,366202.451824,1475814.0,13011966.0
2016000,3258106.0,1032897.16953,1994714.0,10812686.0
2016100,1514214.0,903719.22893,2676991.0,9768167.0
2016200,1303131.0,494859.200997,876869.0,6798734.0
2016300,5513500.0,33367.8949481,44700.0,29908800.0
2016400,1139329.0,468381.222521,687675.0,5772310.0
2016500,875129.0,579140.508504,1271288.0,5699626.0
2016600,1646187.0,601614.598066,1189872.0,8740118.0
2016700,1205204.0,781405.916568,1755823.0,9797522.0
2016900,536588.0,230588.483148,914912.0,3196944.0
2017100,1648310.0,7206.93298651,10200.0,7840350.0
2017300,913290.0,481549.711146,1703518.0,4548883.0
2017500,974704.0,615165.974995,2901025.0,5268015.0
2017701,699129.0,432238.594972,1610689.0,3250545.0
2017702,883301.0,538450.395284,1613358.0,5124300.0
2017901,484946.0,314199.448478,1756370.0,2862165.0
2017902,331461.0,230949.669349,1119145.0,1637093.0
2018101,544831.0,351664.635924,1136864.0,2654838.0
2018102,577066.0,396467.159094,2113957.0,3522150.0
2018301,412872.0,292870.907875,2239606.0,2313387.0
2018302,787615.0,508921.668403,2587389.0,5031036.0
2018400,2921675.0,1084176.62121,2030390.0,16339666.0
2018500,2272817.0,1348248.76394,4243240.0,13376896.0
2018900,1335148.0,797860.337437,3833717.0,7161993.0
2019300,1085075.0,404968.141094,2342798.0,6663654.0
2019400,3117218.0,659732.665952,1446544.0,11547949.0
2019500,1134426.0,726763.295664,3501347.0,7667911.0
2019700,868298.0,569760.932125,2890539.0,5020978.0
2019900,1086913.0,686855.936318,2680789.0,6311523.0
2020000,1950942.0,1164055.57991,2705364.0,20969396.0
2020100,598298.0,343203.216962,1769297.0,2974056.0
2020200,795730.0,411784.335899,972489.0,4895338.0
2020400,896769.0,465886.132002,1292005.0,7905804.0
2020501,1099586.0,397735.09483,2926135.0,4959971.0
2020502,660563.0,300775.357023,1142901.0,2056231.0
2020601,992280.0,506323.350974,1178106.0,6644581.0
2020900,795797.0,546840.083583,2096916.0,6277098.0
2021001,1705443.0,510004.797791,560966.0,15378505.0
2021002,201919.0,407170.109799,555067.0,3174190.0
2021100,867147.0,507618.405123,2171248.0,4309110.0
2021200,9273.0,314047.344817,1749713.0,1895789.0
2021301,196784.0,147898.473509,550800.0,1721732.0
2021302,931907.0,537865.233612,2301164.0,5191800.0
2021501,630350.0,373221.319354,1716577.0,4440301.0
2021502,938392.0,552543.662735,2616647.0,5959719.0
2021601,1017668.0,547115.841258,1880109.0,8715848.0
2021602,369777.0,541735.777106,2299396.0,4416563.0
2021700,871015.0,582628.053906,2354158.0,5232810.0
2021800,1611333.0,742154.007094,2508621.0,7693216.0
2021900,746258.0,584492.973167,1270163.0,6558081.0
2022000,485890.0,310492.3303,770156.0,2825144.0
2022101,428128.0,298030.214684,1288779.0,5763319.0
2022102,508770.0,343278.008135,1589508.0,4104354.0
2022200,1434801.0,756390.19297,1947654.0,14036840.0
2022300,613253.0,426772.491107,1984599.0,4743450.0
2022401,433835.0,295220.494842,1357559.0,7012196.0
2022403,442738.0,324953.347155,1487029.0,6853500.0
2022404,729904.0,444496.869291,2214831.0,7191450.0
2022500,1149722.0,634195.210552,3093584.0,5662137.0
2022701,583688.0,422915.533327,2462908.0,3880796.0
2022702,180483.0,127481.635805,605820.0,1424670.0
2022703,213670.0,157532.011023,1324579.0,1630616.0
2022800,1154316.0,604980.737737,2814967.0,7274179.0
2022901,655988.0,435161.554448,2132468.0,3332901.0
2022902,487019.0,303188.966073,1168879.0,2146920.0
2023000,794838.0,442410.143617,1219757.0,4468742.0
2023100,627884.0,408265.337288,1023341.0,4713910.0
2023200,980786.0,477955.211422,1065745.0,5690239.0
2023301,768312.0,473395.532924,1870751.0,4996152.0
2023302,388278.0,239216.727755,1206368.0,1719450.0
2023501,321868.0,234200.351062,1146753.0,2490399.0
2023502,533706.0,354446.015132,1628669.0,3670135.0
2023600,566948.0,299025.284625,712094.0,3578219.0
2023702,269087.0,228693.712481,815298.0,12372287.0
2023703,598042.0,445406.787465,1724201.0,11875914.0
2023704,437794.0,304832.22603,1362598.0,2964542.0
2023800,1270457.0,813698.830702,1431119.0,8165617.0
2023900,1110633.0,806607.492721,2950552.0,13151661.0
2024000,1351117.0,633523.108086,1454963.0,7116357.0
2024100,862915.0,607441.425315,2489793.0,8753031.0
2024300,975727.0,558692.125929,2150595.0,6290226.0
2024400,1184714.0,596519.942188,1352925.0,7601280.0
2024501,747386.0,417841.960014,1860157.0,2712327.0
2024502,723724.0,393058.702841,1485711.0,3151919.0
2024600,982340.0,407172.933538,949477.0,4276839.0
2024700,842286.0,183737.635616,883756.0,4918779.0
2024800,1428578.0,644072.823481,1760628.0,8689987.0
2024900,1613275.0,370133.025177,1204316.0,11025000.0
2025000,1269939.0,568069.705537,1310527.0,7449498.0
2025100,1208588.0,685752.732392,2594047.0,6788360.0
2025200,1354617.0,656240.684663,1260670.0,7725506.0
2025300,732473.0,511376.751443,2182578.0,6952168.0
2025400,1184829.0,518825.005634,1062287.0,7164362.0
2025500,1118280.0,606236.536958,2587353.0,6346336.0
2025600,1053567.0,459769.085055,895631.0,5434456.0
2025700,331281.0,162077.914577,747963.0,1281875.0
2026100,1654225.0,305279.002337,2530665.0,11585700.0
2026300,1115611.0,493503.35564,2619615.0,7482833.0
2026400,2861744.0,1197419.2277,2417503.0,13910448.0
2026500,1183660.0,936693.779061,2593647.0,9117297.0
2026601,1068222.0,471502.213552,1623489.0,6856855.0
2026602,2063452.0,1056512.24508,2963673.0,14438920.0
2026701,462303.0,304923.603035,1535315.0,3063046.0
2026702,1005593.0,574031.559179,2767558.0,5103358.0
2026900,1068075.0,495802.781888,1966696.0,5710235.0
2027300,1343614.0,704215.803187,3284778.0,7119167.0
2027401,4177363.0,1369241.72686,2546460.0,15384006.0
2027402,4472026.0,1074922.38165,2173275.0,14523044.0
2027600,16397391.0,14839.263723,8376.0,94826730.0
2027700,950235.0,439799.709954,1954241.0,4693374.0
2027900,1703571.0,734455.899685,3471963.0,8768308.0
2028100,789846.0,346666.511472,2443236.0,4846929.0
2028300,984080.0,517351.975017,1424582.0,11356448.0
2028400,6111937.0,1372870.41474,4106892.0,58438874.0
2028500,1386348.0,532511.465131,2167102.0,12217341.0
2028600,1379849.0,557752.348787,2004962.0,8571078.0
2028700,1099503.0,514015.364226,1721410.0,8757309.0
2028800,2347294.0,824645.706445,1878348.0,13288593.0
2028900,1341779.0,587685.188203,2602305.0,19126682.0
2029301,1254711.0,228496.328042,1511529.0,10096248.0
2029302,2848818.0,818452.53604,4121971.0,30274609.0
2029500,1311832.0,707193.194013,2909546.0,16461805.0
2029600,3702878.0,1192538.97002,4623937.0,27316774.0
