,ZipCode,LandArea,LotArea,BldgArea,AllZoning1,AssessLand,BBL
32485,10014,14151051.86,2700.0,8276.0,C1-6                       ,132300.0,1006240022.0
32486,10014,14151051.86,1497.0,6990.0,C1-6                       ,103500.0,1006240023.0
32487,10014,14151051.86,7750.0,0.0,PARK                       ,1181250.0,1006240024.0
32488,10014,14151051.86,1077.0,4400.0,C1-6                       ,185448.0,1006240030.0
32489,10014,14151051.86,7612.0,35136.0,C1-6                       ,589500.0,1006240031.0
32490,10014,14151051.86,8625.0,34872.0,R6                         ,1251000.0,1006240041.0
32491,10014,14151051.86,5880.0,26694.0,R6                         ,386550.0,1006240044.0
32492,10014,14151051.86,1631.0,3432.0,R6                         ,86650.0,1006240047.0
32493,10014,14151051.86,1390.0,7197.0,R6                         ,499500.0,1006240048.0
32494,10014,14151051.86,1950.0,9000.0,R6                         ,450000.0,1006240049.0
32495,10014,14151051.86,1140.0,3120.0,R6                         ,54200.0,1006240051.0
32496,10014,14151051.86,2475.0,9885.0,R6                         ,270000.0,1006240052.0
32497,10014,14151051.86,2910.0,15450.0,R6                         ,675000.0,1006240053.0
32498,10014,14151051.86,1280.0,3204.0,R6                         ,56741.0,1006240055.0
32499,10014,14151051.86,1296.0,3202.0,R6                         ,52265.0,1006240056.0
32500,10014,14151051.86,2675.0,4500.0,R6                         ,126297.0,1006240058.0
32501,10014,14151051.86,2825.0,10440.0,R6                         ,300150.0,1006240059.0
32502,10014,14151051.86,5000.0,25614.0,R6                         ,661500.0,1006240060.0
32503,10014,14151051.86,483.0,0.0,PARK                       ,118350.0,1006240070.0
32504,10014,14151051.86,2756.0,11048.0,R6                         ,121105.0,1006247501.0
32505,10014,14151051.86,5400.0,19853.0,R6                         ,1169996.0,1006247502.0
32506,10014,14151051.86,10462.0,123604.0,C1-6                       ,1725748.0,1006247503.0
32507,10014,14151051.86,15200.0,3911.0,C1-6                       ,1327500.0,1006247504.0
32508,10014,14151051.86,8185.0,46835.0,C1-6                       ,596150.0,1006247505.0
32509,10014,14151051.86,2000.0,11496.0,R6                         ,67556.0,1006250002.0
32510,10014,14151051.86,2016.0,5880.0,R6                         ,72910.0,1006250003.0
32511,10014,14151051.86,985.0,2144.0,R6                         ,142113.0,1006250004.0
32512,10014,14151051.86,1071.0,3600.0,R6                         ,60756.0,1006250005.0
32513,10014,14151051.86,945.0,2940.0,R6                         ,46135.0,1006250006.0
32514,10014,14151051.86,966.0,3192.0,C1-6                       ,119676.0,1006250007.0
32515,10014,14151051.86,1040.0,3338.0,C1-6                       ,62958.0,1006250008.0
32516,10014,14151051.86,790.0,3016.0,C1-6                       ,186125.0,1006250009.0
32517,10014,14151051.86,1012.0,2820.0,C1-6                       ,19570.0,1006250010.0
32518,10014,14151051.86,993.0,2840.0,C1-6                       ,85991.0,1006250011.0
32519,10014,14151051.86,1975.0,9654.0,C1-6                       ,495000.0,1006250012.0
32520,10014,14151051.86,1920.0,6168.0,C1-6                       ,282513.0,1006250013.0
32521,10014,14151051.86,600.0,2080.0,C1-6                       ,22931.0,1006250014.0
32522,10014,14151051.86,985.0,2784.0,C1-6                       ,167232.0,1006250015.0
32523,10014,14151051.86,1342.0,3498.0,C1-6                       ,42540.0,1006250016.0
32524,10014,14151051.86,1408.0,3168.0,C1-6                       ,47570.0,1006250017.0
32525,10014,14151051.86,936.0,3252.0,C1-6                       ,53374.0,1006250018.0
32526,10014,14151051.86,948.0,3028.0,R6                         ,75153.0,1006250019.0
32527,10014,14151051.86,924.0,3824.0,R6                         ,64086.0,1006250020.0
32528,10014,14151051.86,2777.0,16026.0,R6                         ,315000.0,1006250021.0
32529,10014,14151051.86,5032.0,15084.0,C1-6                       ,463500.0,1006250026.0
32530,10014,14151051.86,1680.0,3780.0,C1-6                       ,122306.0,1006250027.0
32531,10014,14151051.86,1800.0,3880.0,C1-6                       ,71377.0,1006250028.0
32532,10014,14151051.86,1800.0,3960.0,C1-6                       ,68327.0,1006250029.0
32533,10014,14151051.86,1800.0,3520.0,C1-6                       ,69435.0,1006250030.0
32534,10014,14151051.86,1535.0,4234.0,C1-6                       ,176167.0,1006250031.0
32535,10014,14151051.86,1276.0,4240.0,C1-6                       ,53847.0,1006250032.0
32536,10014,14151051.86,989.0,3466.0,C1-6                       ,57280.0,1006250033.0
