,BoroCT2010,CT_Land,CT_LOT,CT_FP,Bldg/Land,Lot/Land,Bldg/Lot
0,5000900,2497009.69813,4440.0,1768.56720466,0.000708274063166,0.00177812685442,0.398325946995
1,5012500,4954936.20677,12253428.0,1105.07784259,0.000223025644827,2.47297391705,9.01851989982e-05
2,5007400,5788237.74119,12253428.0,1107.45516734,0.000191328555747,2.11695312941,9.03792120327e-05
3,1003200,2334190.23228,12253428.0,935.079410233,0.000400601200923,5.24954128869,7.6311658275e-05
4,1009600,1887288.40108,12253428.0,1468.03041268,0.000777851658411,6.4926102407,0.000119805691328
5,1009800,1906016.35002,12253428.0,1000.13025729,0.000524722811155,6.42881578632,8.16204459103e-05
6,1010000,1860938.37794,12253428.0,813.343244644,0.000437060815278,6.58454258629,6.63767922449e-05
7,1010200,1860992.5363,12253428.0,648.368170652,0.000348399124663,6.58435096379,5.29132068717e-05
8,1010400,1864600.35091,12253428.0,876.093216187,0.000469855760651,6.57161090526,7.14978058538e-05
9,1011201,856164.356123,12253428.0,677.087510487,0.000790838237594,14.3120043627,5.52569869009e-05
10,1011202,839525.781464,12253428.0,1000.7739238,0.00119207050682,14.5956542021,8.16729754155e-05
11,1011203,854082.515426,12253428.0,1480.77260647,0.00173375824903,14.3468901174,0.000120845579414
12,1011300,1890907.33104,12253428.0,858.587350506,0.000454061040651,6.48018430034,7.0069155383e-05
13,1011402,1063547.40503,12253428.0,816.150799829,0.000767385446073,11.5212805203,6.6605916306e-05
14,1013000,1918144.49944,12253428.0,5146.64225196,0.00268313583959,6.38816731668,0.000420016525332
15,1014000,1925984.22252,12253428.0,1066.89371444,0.000553947276393,6.36216426735,8.70689993396e-05
16,1014601,799879.808768,12253428.0,897.945784351,0.00112260088892,15.3190865249,7.32811899128e-05
17,1014602,1175338.62237,12253428.0,1059.42289202,0.00090137673676,10.4254448606,8.64593068993e-05
18,1014801,559216.157816,12253428.0,1055.05545424,0.00188666840093,21.911791762,8.61028811072e-05
19,1014802,1351365.00485,12253428.0,1095.37472966,0.000810569110291,9.06744510626,8.93933297409e-05
20,1015300,1872392.64555,12253428.0,823.861652128,0.000440004746914,6.54426197898,6.72351975405e-05
21,1015400,1909222.24485,12253428.0,1341.26116884,0.000702517044549,6.41802075848,0.00010946007671
22,1018400,1903568.31875,12253428.0,921.325068301,0.000483998950406,6.43708338666,7.51891689657e-05
23,1019000,1117371.64056,12253428.0,1040.55340876,0.000931250956252,10.9662958636,8.49193718492e-05
24,1020102,897067.902897,12253428.0,902.118830564,0.00100563048533,13.6594208314,7.36217514449e-05
25,1020600,1602693.80227,12253428.0,1347.32265674,0.000840661300887,7.64552030004,0.00010995475362
26,1023400,1164816.98101,12253428.0,1161.52053871,0.000997169991206,10.5196165576,9.47914770226e-05
27,1023900,687269.036218,12253428.0,873.264828505,0.00127063025174,17.8291576577,7.12669816565e-05
28,1024900,652856.308287,12253428.0,1143.76148297,0.00175193448919,18.7689509077,9.33421637578e-05
29,1025300,1822960.36207,12253428.0,1015.65832574,0.000557147783832,6.72171938291,8.28876887137e-05
30,1025700,1550590.20006,12253428.0,796.717262097,0.000513815489138,7.90242837826,6.50199488745e-05
31,1026100,1681539.12174,12253428.0,1215.83936804,0.000723051490341,7.28703117375,9.92244266698e-05
32,1026300,1691892.01342,12253428.0,964.563260745,0.000570109234569,7.24244094943,7.87178298795e-05
33,1026700,518771.594333,12253428.0,1096.85713507,0.00211433537814,23.620082776,8.95143085731e-05
34,1026900,1889655.62123,12253428.0,928.940524157,0.00049159249639,6.48447678103,7.58106649141e-05
35,1027700,1760155.84136,12253428.0,1387.79065274,0.000788447602269,6.96155858025,0.000113257339313
36,3000501,901506.992481,12253428.0,831.728085634,0.000922597486843,13.5921607954,6.78771757286e-05
37,3002000,1620770.16274,12253428.0,1077.70392654,0.000664933222067,7.56025023269,8.79512187561e-05
38,3004100,1744094.3952,12253428.0,814.93875392,0.000467256105038,7.02566789603,6.65070014628e-05
39,3005201,1448244.16819,12253428.0,856.168657251,0.000591177010104,8.46088544262,6.98717662723e-05
40,3005202,1398134.48416,12253428.0,959.757477919,0.000686455765731,8.76412686964,7.83256308291e-05
41,3005800,2080303.3141,12253428.0,1033.91414871,0.000497001635147,5.89021221903,8.43775430606e-05
42,3006000,1639073.92632,12253428.0,945.84183755,0.000577058680735,7.47582388032,7.71899779841e-05
43,3006500,2685633.61509,12253428.0,863.744473551,0.000321616645211,4.56258364177,7.04900272439e-05
44,3006700,1680804.29592,12253428.0,1063.51046479,0.000632739021058,7.29021696919,8.67928929594e-05
45,3006900,1927677.55339,12253428.0,1267.0150127,0.000657275388444,6.35657554784,0.000103400861596
46,3007400,1516613.03139,12253428.0,1200.06866765,0.000791282049416,8.07946901839,9.79373827185e-05
47,3007600,1510401.67828,12253428.0,845.963079129,0.000560091458646,8.11269490508,6.90388909233e-05
48,3007800,1509791.98953,12253428.0,1772.31644507,0.00117388120838,8.11597099797,0.000144638418332
49,3008000,1506326.48527,12253428.0,929.386056558,0.000616988458775,8.13464286781,7.58470247312e-05
50,3009800,1625498.65245,12253428.0,1205.12037578,0.000741385035271,7.53825786415,9.83496516877e-05
51,3010100,3393635.74682,12253428.0,948.84763707,0.000279596193539,3.61070807658,7.74352807288e-05
52,3010200,1640687.83875,12253428.0,1178.52431535,0.000718311117761,7.46847005908,9.61791520993e-05
53,3010400,1639390.92125,12253428.0,1116.91569694,0.000681299184022,7.47437834452,9.11512841092e-05
54,3010800,1624849.98804,12253428.0,1726.68608358,0.00106267415225,7.5412672494,0.000140914532944
