,BoroCT2010,LotArea,FP,CT_Land,Bldg/Land,Lot/Land,Bldg/Lot
74,1007600,1124262.0,1058712.20979,1873515.08743,56.51,60.01,94.17
75,1007700,1112146.0,818602.834993,1923634.67585,42.56,57.81,73.61
76,1007800,1064076.0,678360.843955,1912109.70601,35.48,55.65,63.75
77,1007900,1971132.0,1102368.12403,2979133.70568,37.0,66.16,55.93
78,1008000,1135728.0,911476.610631,1855976.7105,49.11,61.19,80.25
79,1008100,1246132.0,989092.547213,1876262.63754,52.72,66.42,79.37
80,1008200,1132991.0,1003938.80003,1856719.40603,54.07,61.02,88.61
81,1008300,1048774.0,830174.355885,1872963.18444,44.32,56.0,79.16
82,1008400,1114963.0,931453.398806,1862741.82427,50.0,59.86,83.54
83,1008601,278074.0,175071.109327,1221384.83604,14.33,22.77,62.96
84,1008602,661909.0,350608.268719,1075371.26268,32.6,61.55,52.97
85,1008603,689045.0,456290.70945,1253784.29127,36.39,54.96,66.22
86,1008700,1193623.0,986329.564317,1780833.95782,55.39,67.03,82.63
87,1008800,1027758.0,843886.849511,1946103.25302,43.36,52.81,82.11
88,1008900,1159765.0,742047.882935,1782674.05643,41.63,65.06,63.98
89,1009000,1195524.0,893256.313154,1906164.21271,46.86,62.72,74.72
90,1009100,1206062.0,1084096.54826,1927040.21793,56.26,62.59,89.89
91,1009200,1469744.0,1270946.33827,2118430.76118,59.99,69.38,86.47
92,1009300,1224016.0,655666.401295,1929422.6884,33.98,63.44,53.57
93,1009400,1013734.0,904429.31852,1646379.32322,54.93,61.57,89.22
94,1009500,1184782.0,1042287.42236,1851216.00334,56.3,64.0,87.97
95,1009600,1289119.0,1171683.49653,1887288.40108,62.08,68.31,90.89
96,1009700,1331763.0,646758.96773,1860580.94065,34.76,71.58,48.56
97,1009800,1224773.0,911251.554793,1906016.35002,47.81,64.26,74.4
98,1009900,8827150.0,4171478.17788,10715840.3901,38.93,82.37,47.26
99,1010000,1145493.0,965828.852828,1860938.37794,51.9,61.55,84.32
100,1010100,1266822.0,1028380.28571,1891336.08132,54.37,66.98,81.18
101,1010200,1129690.0,996224.052219,1860992.5363,53.53,60.7,88.19
102,1010300,848656.0,822591.602536,1875918.12271,43.85,45.24,96.93
103,1010400,1248575.0,1056518.81945,1864600.35091,56.66,66.96,84.62
104,1010601,763759.0,500255.931829,1305574.86579,38.32,58.5,65.5
105,1010602,716730.0,417814.762312,1344539.1764,31.07,53.31,58.29
106,1010800,1205889.0,973728.326649,1950021.48118,49.93,61.84,80.75
107,1010900,1186103.0,1142254.87222,1891364.6233,60.39,62.71,96.3
108,1011000,1040872.0,757830.058249,1901324.18249,39.86,54.74,72.81
109,1011100,931806.0,795260.504672,1889012.18619,42.1,49.33,85.35
110,1011201,508026.0,446370.188152,856164.356123,52.14,59.34,87.86
111,1011202,496303.0,437199.110129,839525.781464,52.08,59.12,88.09
112,1011203,490030.0,435115.572016,854082.515426,50.95,57.38,88.79
113,1011300,1119607.0,1050929.91806,1890907.33104,55.58,59.21,93.87
114,1011401,660506.0,551685.900412,1060696.30244,52.01,62.27,83.52
115,1011402,664144.0,535937.180017,1063547.40503,50.39,62.45,80.7
116,1011500,882547.0,807686.91208,1889825.65239,42.74,46.7,91.52
117,1011600,1350699.0,955241.615185,2117484.29199,45.11,63.79,70.72
118,1011700,2240528.0,1395121.82955,2136884.28051,65.29,104.85,62.27
119,1011800,1180240.0,828426.107273,1903276.09728,43.53,62.01,70.19
120,1011900,1196891.0,1129465.90725,1911310.5219,59.09,62.62,94.37
121,1012000,1154383.0,897304.590227,1862415.44246,48.18,61.98,77.73
122,1012100,1194460.0,932930.297653,1919460.65715,48.6,62.23,78.1
123,1012200,1155448.0,937435.69761,1857829.53105,50.46,62.19,81.13
124,1012400,1154190.0,968436.85928,1847564.26452,52.42,62.47,83.91
125,1012500,1182349.0,992475.722512,1875481.62066,52.92,63.04,83.94
126,1012600,1277516.0,938062.29326,1976487.48125,47.46,64.64,73.43
127,1012700,1221593.0,920932.841049,1871751.38333,49.2,65.26,75.39
128,1012800,1166207.0,889031.39394,1924402.65723,46.2,60.6,76.23
129,1012900,3904171.0,1935977.55009,4355081.72078,44.45,89.65,49.59
130,1013000,1150408.0,920732.324652,1918144.49944,48.0,59.98,80.04
131,1013100,1208547.0,1048016.04594,1874645.4961,55.9,64.47,86.72
132,1013200,1239366.0,787943.564213,2148206.13502,36.68,57.69,63.58
133,1013300,1249593.0,944053.484485,1876725.7388,50.3,66.58,75.55
134,1013400,1310078.0,954114.507643,1956780.7626,48.76,66.95,72.83
135,1013500,3432447.0,1936293.54536,4513475.18656,42.9,76.05,56.41
136,1013600,1452427.0,1041924.74402,2358422.79807,44.18,61.58,71.74
137,1013700,1408891.0,1188335.26127,2435167.66935,48.8,57.86,84.35
138,1013800,1285891.0,940899.039556,1959555.68567,48.02,65.62,73.17
139,1013900,1289348.0,1011796.97577,1955059.85243,51.75,65.95,78.47
140,1014000,1192956.0,891798.943285,1925984.22252,46.3,61.94,74.76
141,1014200,1171341.0,886026.825333,1927688.28305,45.96,60.76,75.64
142,1014300,36590000.0,775257.651501,38310328.2222,2.02,95.51,2.12
143,1014401,513817.0,339895.486665,800310.56642,42.47,64.2,66.15
144,1014402,1393735.0,544619.836714,1886948.27811,28.86,73.86,39.08
145,1014500,1111175.0,854908.429662,1897994.08995,45.04,58.54,76.94
146,1014601,509223.0,416351.395644,799879.808768,52.05,63.66,81.76
147,1014602,761241.0,551931.726336,1175338.62237,46.96,64.77,72.5
148,1014700,462238.0,351656.819361,703936.349311,49.96,65.66,76.08
149,1014801,336977.0,257166.0388,559216.157816,45.99,60.26,76.32
150,1014802,836128.0,668510.353701,1351365.00485,49.47,61.87,79.95
151,1014900,1257244.0,811787.164943,1880349.86996,43.17,66.86,64.57
152,1015001,336255.0,264927.258965,556354.416814,47.62,60.44,78.79
153,1015002,814025.0,593274.283117,1352593.38437,43.86,60.18,72.88
154,1015100,1660083.0,1056689.02119,3579761.10442,29.52,46.37,63.65
155,1015200,1379420.0,514582.145805,1913189.43076,26.9,72.1,37.3
156,1015300,1150021.0,904245.30414,1872392.64555,48.29,61.42,78.63
157,1015400,1337999.0,806244.171123,1909222.24485,42.23,70.08,60.26
158,1015500,1805425.0,415219.333859,2035791.20349,20.4,88.68,23.0
159,1015601,494789.0,330979.111978,791936.098989,41.79,62.48,66.89
160,1015602,817937.0,291583.004005,1169910.75402,24.92,69.91,35.65
161,1015700,1284108.0,943826.796613,1967465.56483,47.97,65.27,73.5
162,1015801,829319.0,563474.688843,1352987.6138,41.65,61.3,67.94
163,1015802,294624.0,204215.306807,551658.976971,37.02,53.41,69.31
164,1015900,1008490.0,713508.862369,1867947.75475,38.2,53.99,70.75
165,1016001,829145.0,644391.340955,1352676.79678,47.64,61.3,77.72
166,1016002,330980.0,242975.491445,554061.784989,43.85,59.74,73.41
167,1016100,1139728.0,761943.675377,1676887.39948,45.44,67.97,66.85
