,CensusTract,LotArea,FootPrint,FloorSpace,AssessLand,SurfaceArea,Neighborhood,land-lot,lot-fp,s,p,f,l,r
346,2009300,11632383.0,6354284.84232,9494970.0,69478889.0,25297302.3643,Hunts Point,13664919.3643,5278098.15768,0.3753,0.2512,1.4943,0.4598,0.5463
347,2009600,4629748.0,2185614.59477,3277058.0,24526129.0,7359513.90622,Westchester-Unionport,2729765.90622,2444133.40523,0.4453,0.297,1.4994,0.6291,0.4721
348,2009800,3001176.0,1053444.24131,2555988.0,11464785.0,5559622.22819,Westchester-Unionport,2558446.22819,1947731.75869,0.4597,0.1895,2.4263,0.5398,0.351
349,2011000,7339481.0,134654.245485,117514.0,57615154.0,21931215.0932,Schuylerville-Throgs Neck-Edgewater Park,14591734.0932,7204826.75451,0.0054,0.0061,0.8727,0.3347,0.0183
350,2011502,1519158.0,967609.782448,2216271.0,8725253.0,3720925.13097,Hunts Point,2201767.13097,551548.217552,0.5956,0.26,2.2905,0.4083,0.6369
351,2011700,8406952.0,2197379.53857,2858332.0,23115603.0,14905907.6512,Hunts Point,6498955.6512,6209572.46143,0.1918,0.1474,1.3008,0.564,0.2614
353,2011900,1120544.0,610202.212365,2190386.0,10897711.0,1794111.26359,Hunts Point,673567.26359,510341.787635,1.2209,0.3401,3.5896,0.6246,0.5446
354,2012101,720923.0,414802.414053,1204006.0,3526091.0,1251776.33699,Morrisania-Melrose,530853.33699,306120.585947,0.9618,0.3314,2.9026,0.5759,0.5754
355,2012102,285030.0,211409.622326,595941.0,2277670.0,556269.411143,Hunts Point,271239.411143,73620.377674,1.0713,0.38,2.8189,0.5124,0.7417
356,2012300,1095165.0,588726.694777,2218226.0,7677911.0,3189742.4246,Crotona Park East,2094577.4246,506438.305223,0.6954,0.1846,3.7678,0.3433,0.5376
357,2012500,938826.0,525593.873653,1642376.0,4947576.0,1828803.46249,Morrisania-Melrose,889977.46249,413232.126347,0.8981,0.2874,3.1248,0.5134,0.5598
358,2012701,630255.0,334089.348614,1229613.0,4322962.0,1172804.16056,Hunts Point,542549.16056,296165.651386,1.0484,0.2849,3.6805,0.5374,0.5301
359,2012901,931289.0,514967.38446,1907471.0,6603440.0,1684031.13028,Longwood,752742.13028,416321.61554,1.1327,0.3058,3.7041,0.553,0.553
360,2013000,720160.0,265544.862323,538394.0,3681024.0,1250249.50747,Schuylerville-Throgs Neck-Edgewater Park,530089.50747,454615.137677,0.4306,0.2124,2.0275,0.576,0.3687
361,2013100,1386594.0,666224.062935,2307162.0,8003439.0,2475848.31888,Longwood,1089254.31888,720369.937065,0.9319,0.2691,3.463,0.56,0.4805
362,2013200,4343914.0,1432185.27255,2959894.0,19891556.0,6526040.71317,Schuylerville-Throgs Neck-Edgewater Park,2182126.71317,2911728.72745,0.4536,0.2195,2.0667,0.6656,0.3297
363,2013300,1242365.0,364771.442278,2754326.0,6733175.0,1734820.33381,Morrisania-Melrose,492455.33381,877593.557722,1.5877,0.2103,7.5508,0.7161,0.2936
364,2013500,1123075.0,398656.983532,1826739.0,5568049.0,1805899.39482,Morrisania-Melrose,682824.39482,724418.016468,1.0115,0.2208,4.5822,0.6219,0.355
365,2013800,3712902.0,979748.959735,824398.0,7215223.0,8330445.90608,Schuylerville-Throgs Neck-Edgewater Park,4617543.90608,2733153.04026,0.099,0.1176,0.8414,0.4457,0.2639
366,2014100,825649.0,489380.90508,2815139.0,9181118.0,1907232.43777,Morrisania-Melrose,1081583.43777,336268.09492,1.476,0.2566,5.7524,0.4329,0.5927
367,2014300,453726.0,353516.223251,1160043.0,4035375.0,1395894.31655,East Concourse-Concourse Village,942168.31655,100209.776749,0.831,0.2533,3.2814,0.325,0.7791
368,2014400,3005433.0,616535.337466,2960084.0,12701904.0,4208791.51297,Schuylerville-Throgs Neck-Edgewater Park,1203358.51297,2388897.66253,0.7033,0.1465,4.8012,0.7141,0.2051
369,2014500,1163645.0,531354.270272,2635325.0,7059298.0,1954010.13643,Claremont-Bathgate,790365.13643,632290.729728,1.3487,0.2719,4.9596,0.5955,0.4566
370,2014701,1019684.0,297744.759002,2480014.0,4638600.0,1494598.34225,Claremont-Bathgate,474914.34225,721939.240998,1.6593,0.1992,8.3293,0.6822,0.292
371,2014702,890088.0,211664.122538,1867794.0,6291450.0,1247172.49725,Claremont-Bathgate,357084.49725,678423.877462,1.4976,0.1697,8.8243,0.7137,0.2378
372,2014900,1080859.0,518495.286585,2403639.0,5913988.0,1676847.84706,Morrisania-Melrose,595988.84706,562363.713415,1.4334,0.3092,4.6358,0.6446,0.4797
373,2015100,1274877.0,664660.941417,2392190.0,6021653.0,2251593.47597,Morrisania-Melrose,976716.47597,610216.058583,1.0624,0.2952,3.5991,0.5662,0.5214
374,2015200,1727491.0,695858.13689,1190640.0,12399780.0,3151751.2358,Schuylerville-Throgs Neck-Edgewater Park,1424260.2358,1031632.86311,0.3778,0.2208,1.711,0.5481,0.4028
375,2015300,1474896.0,581222.726519,1848741.0,5799844.0,2525294.05834,Crotona Park East,1050398.05834,893673.273481,0.7321,0.2302,3.1808,0.584,0.3941
376,2015500,711809.0,377010.774698,1443574.0,4570479.0,1229990.21572,Crotona Park East,518181.21572,334798.225302,1.1736,0.3065,3.829,0.5787,0.5297
377,2015700,1248988.0,696573.22193,1806321.0,6091510.0,3384899.20817,Crotona Park East,2135911.20817,552414.77807,0.5336,0.2058,2.5932,0.369,0.5577
378,2015800,1081622.0,453332.389819,1092254.0,8329700.0,1751816.27274,Schuylerville-Throgs Neck-Edgewater Park,670194.27274,628289.610181,0.6235,0.2588,2.4094,0.6174,0.4191
379,2015900,729808.0,366202.451824,1475814.0,13011966.0,1112938.77732,Hunts Point,383130.77732,363605.548176,1.3261,0.329,4.03,0.6557,0.5018
380,2016000,3258106.0,1032897.16953,1994714.0,10812686.0,5532323.46374,Schuylerville-Throgs Neck-Edgewater Park,2274217.46374,2225208.83047,0.3606,0.1867,1.9312,0.5889,0.317
381,2016100,1514214.0,903719.22893,2676991.0,9768167.0,2573147.01575,Crotona Park East,1058933.01575,610494.77107,1.0404,0.3512,2.9622,0.5885,0.5968
382,2016200,1303131.0,494859.200997,876869.0,6798734.0,1944076.72762,Schuylerville-Throgs Neck-Edgewater Park,640945.72762,808271.799003,0.451,0.2545,1.772,0.6703,0.3797
383,2016300,5513500.0,33367.8949481,44700.0,29908800.0,6340258.68785,park-cemetery-etc-Bronx,826758.68785,5480132.10505,0.0071,0.0053,1.3396,0.8696,0.0061
384,2016400,1139329.0,468381.222521,687675.0,5772310.0,1768563.77378,Schuylerville-Throgs Neck-Edgewater Park,629234.77378,670947.777479,0.3888,0.2648,1.4682,0.6442,0.4111
385,2016500,875129.0,579140.508504,1271288.0,5699626.0,2041029.92202,Claremont-Bathgate,1165900.92202,295988.491496,0.6229,0.2837,2.1951,0.4288,0.6618
386,2016600,1646187.0,601614.598066,1189872.0,8740118.0,3078388.83992,Schuylerville-Throgs Neck-Edgewater Park,1432201.83992,1044572.40193,0.3865,0.1954,1.9778,0.5348,0.3655
387,2016700,1205204.0,781405.916568,1755823.0,9797522.0,2215210.98965,Claremont-Bathgate,1010006.98965,423798.083432,0.7926,0.3527,2.247,0.5441,0.6484
388,2016900,536588.0,230588.483148,914912.0,3196944.0,1000160.56464,Claremont-Bathgate,463572.56464,305999.516852,0.9148,0.2306,3.9677,0.5365,0.4297
389,2017100,1648310.0,7206.93298651,10200.0,7840350.0,1837138.94755,park-cemetery-etc-Bronx,188828.94755,1641103.06701,0.0056,0.0039,1.4153,0.8972,0.0044
390,2017300,913290.0,481549.711146,1703518.0,4548883.0,1774688.21794,East Concourse-Concourse Village,861398.21794,431740.288854,0.9599,0.2713,3.5376,0.5146,0.5273
391,2017500,974704.0,615165.974995,2901025.0,5268015.0,1631792.1809,East Concourse-Concourse Village,657088.1809,359538.025005,1.7778,0.377,4.7158,0.5973,0.6311
392,2017701,699129.0,432238.594972,1610689.0,3250545.0,1147267.72289,East Concourse-Concourse Village,448138.72289,266890.405028,1.4039,0.3768,3.7264,0.6094,0.6183
393,2017702,883301.0,538450.395284,1613358.0,5124300.0,1516815.60395,East Concourse-Concourse Village,633514.60395,344850.604716,1.0636,0.355,2.9963,0.5823,0.6096
394,2017901,484946.0,314199.448478,1756370.0,2862165.0,825937.173073,East Concourse-Concourse Village,340991.173073,170746.551522,2.1265,0.3804,5.59,0.5871,0.6479
395,2017902,331461.0,230949.669349,1119145.0,1637093.0,827548.437687,East Concourse-Concourse Village,496087.437687,100511.330651,1.3524,0.2791,4.8458,0.4005,0.6968
396,2018101,544831.0,351664.635924,1136864.0,2654838.0,831112.957035,East Concourse-Concourse Village,286281.957035,193166.364076,1.3679,0.4231,3.2328,0.6555,0.6455
397,2018102,577066.0,396467.159094,2113957.0,3522150.0,1040321.76237,East Concourse-Concourse Village,463255.76237,180598.840906,2.032,0.3811,5.332,0.5547,0.687
398,2018301,412872.0,292870.907875,2239606.0,2313387.0,734996.286567,East Concourse-Concourse Village,322124.286567,120001.092125,3.0471,0.3985,7.6471,0.5617,0.7094
399,2018302,787615.0,508921.668403,2587389.0,5031036.0,1208451.00184,East Concourse-Concourse Village,420836.00184,278693.331597,2.1411,0.4211,5.0841,0.6518,0.6462
400,2018400,2921675.0,1084176.62121,2030390.0,16339666.0,4814309.84859,Schuylerville-Throgs Neck-Edgewater Park,1892634.84859,1837498.37879,0.4217,0.2252,1.8727,0.6069,0.3711
401,2018500,2272817.0,1348248.76394,4243240.0,13376896.0,4434780.61237,Morrisania-Melrose,2161963.61237,924568.23606,0.9568,0.304,3.1472,0.5125,0.5932
402,2018900,1335148.0,797860.337437,3833717.0,7161993.0,3923652.96727,Highbridge,2588504.96727,537287.662563,0.9771,0.2033,4.805,0.3403,0.5976
403,2019300,1085075.0,404968.141094,2342798.0,6663654.0,2587522.52939,Highbridge,1502447.52939,680106.858906,0.9054,0.1565,5.7851,0.4193,0.3732
404,2019400,3117218.0,659732.665952,1446544.0,11547949.0,8717967.29478,Schuylerville-Throgs Neck-Edgewater Park,5600749.29478,2457485.33405,0.1659,0.0757,2.1926,0.3576,0.2116
405,2019500,1134426.0,726763.295664,3501347.0,7667911.0,2361340.76248,West Concourse,1226914.76248,407662.704336,1.4828,0.3078,4.8177,0.4804,0.6406
406,2019700,868298.0,569760.932125,2890539.0,5020978.0,1597102.90329,West Concourse,728804.90329,298537.067875,1.8099,0.3567,5.0732,0.5437,0.6562
407,2019900,1086913.0,686855.936318,2680789.0,6311523.0,1908263.21835,Highbridge,821350.21835,400057.063682,1.4048,0.3599,3.903,0.5696,0.6319
408,2020000,1950942.0,1164055.57991,2705364.0,20969396.0,3678684.27762,Van Nest-Morris Park-Westchester Square,1727742.27762,786886.42009,0.7354,0.3164,2.3241,0.5303,0.5967
409,2020100,598298.0,343203.216962,1769297.0,2974056.0,2967245.02371,Highbridge,2368947.02371,255094.783038,0.5963,0.1157,5.1552,0.2016,0.5736
410,2020200,795730.0,411784.335899,972489.0,4895338.0,1343331.0538,Westchester-Unionport,547601.0538,383945.664101,0.7239,0.3065,2.3616,0.5924,0.5175
411,2020400,896769.0,465886.132002,1292005.0,7905804.0,1447955.99086,Westchester-Unionport,551186.99086,430882.867998,0.8923,0.3218,2.7732,0.6193,0.5195
412,2020501,1099586.0,397735.09483,2926135.0,4959971.0,2949065.71188,University Heights-Morris Heights,1849479.71188,701850.90517,0.9922,0.1349,7.357,0.3729,0.3617
413,2020502,660563.0,300775.357023,1142901.0,2056231.0,1087823.77491,University Heights-Morris Heights,427260.77491,359787.642977,1.0506,0.2765,3.7998,0.6072,0.4553
414,2020601,992280.0,506323.350974,1178106.0,6644581.0,1629908.75249,Westchester-Unionport,637628.75249,485956.649026,0.7228,0.3106,2.3268,0.6088,0.5103
415,2020900,795797.0,546840.083583,2096916.0,6277098.0,1424317.77927,West Concourse,628520.77927,248956.916417,1.4722,0.3839,3.8346,0.5587,0.6872
416,2021001,1705443.0,510004.797791,560966.0,15378505.0,2077421.72904,Parkchester,371978.72904,1195438.20221,0.27,0.2455,1.0999,0.8209,0.299
418,2021100,867147.0,507618.405123,2171248.0,4309110.0,1659664.63704,Highbridge,792517.63704,359528.594877,1.3082,0.3059,4.2773,0.5225,0.5854
420,2021301,196784.0,147898.473509,550800.0,1721732.0,643488.1025,University Heights-Morris Heights,446704.1025,48885.526491,0.856,0.2298,3.7242,0.3058,0.7516
421,2021302,931907.0,537865.233612,2301164.0,5191800.0,1869241.53271,Highbridge,937334.53271,394041.766388,1.2311,0.2877,4.2783,0.4985,0.5772
422,2021501,630350.0,373221.319354,1716577.0,4440301.0,986700.640975,University Heights-Morris Heights,356350.640975,257128.680646,1.7397,0.3783,4.5994,0.6388,0.5921
423,2021502,938392.0,552543.662735,2616647.0,5959719.0,1682567.73708,University Heights-Morris Heights,744175.73708,385848.337265,1.5552,0.3284,4.7356,0.5577,0.5888
424,2021601,1017668.0,547115.841258,1880109.0,8715848.0,1761363.27388,West Farms-Bronx River,743695.27388,470552.158742,1.0674,0.3106,3.4364,0.5778,0.5376
426,2021700,871015.0,582628.053906,2354158.0,5232810.0,1703467.16666,University Heights-Morris Heights,832452.16666,288386.946094,1.382,0.342,4.0406,0.5113,0.6689
427,2021800,1611333.0,742154.007094,2508621.0,7693216.0,3460968.42721,West Farms-Bronx River,1849635.42721,869178.992906,0.7248,0.2144,3.3802,0.4656,0.4606
428,2021900,746258.0,584492.973167,1270163.0,6558081.0,1541640.93551,Highbridge,795382.93551,161765.026833,0.8239,0.3791,2.1731,0.4841,0.7832
429,2022000,485890.0,310492.3303,770156.0,2825144.0,2254221.42234,East Tremont,1768331.42234,175397.6697,0.3417,0.1377,2.4804,0.2155,0.639
430,2022101,428128.0,298030.214684,1288779.0,5763319.0,732245.121699,West Concourse,304117.121699,130097.785316,1.76,0.407,4.3243,0.5847,0.6961
431,2022102,508770.0,343278.008135,1589508.0,4104354.0,842620.057611,West Concourse,333850.057611,165491.991865,1.8864,0.4074,4.6304,0.6038,0.6747
432,2022200,1434801.0,756390.19297,1947654.0,14036840.0,2370424.54758,Parkchester,935623.54758,678410.80703,0.8216,0.3191,2.5749,0.6053,0.5272
433,2022300,613253.0,426772.491107,1984599.0,4743450.0,1001578.21369,West Concourse,388325.21369,186480.508893,1.9815,0.4261,4.6503,0.6123,0.6959
434,2022401,433835.0,295220.494842,1357559.0,7012196.0,923790.395273,Pelham Parkway,489955.395273,138614.505158,1.4696,0.3196,4.5985,0.4696,0.6805
435,2022403,442738.0,324953.347155,1487029.0,6853500.0,1338120.90045,Pelham Parkway,895382.90045,117784.652845,1.1113,0.2428,4.5761,0.3309,0.734
436,2022404,729904.0,444496.869291,2214831.0,7191450.0,999997.852978,Pelham Parkway,270093.852978,285407.130709,2.2148,0.4445,4.9828,0.7299,0.609
437,2022500,1149722.0,634195.210552,3093584.0,5662137.0,1925146.55618,East Concourse-Concourse Village,775424.55618,515526.789448,1.6069,0.3294,4.878,0.5972,0.5516
438,2022701,583688.0,422915.533327,2462908.0,3880796.0,1243220.32904,Mount Hope,659532.32904,160772.466673,1.9811,0.3402,5.8236,0.4695,0.7246
439,2022702,180483.0,127481.635805,605820.0,1424670.0,557878.279801,Mount Hope,377395.279801,53001.364195,1.0859,0.2285,4.7522,0.3235,0.7063
440,2022703,213670.0,157532.011023,1324579.0,1630616.0,456337.460973,Mount Hope,242667.460973,56137.988977,2.9026,0.3452,8.4083,0.4682,0.7373
441,2022800,1154316.0,604980.737737,2814967.0,7274179.0,1851825.77254,Pelham Parkway,697509.77254,549335.262263,1.5201,0.3267,4.653,0.6233,0.5241
442,2022901,655988.0,435161.554448,2132468.0,3332901.0,1271602.76979,Mount Hope,615614.76979,220826.445552,1.677,0.3422,4.9004,0.5159,0.6634
443,2022902,487019.0,303188.966073,1168879.0,2146920.0,1042641.34212,Mount Hope,555622.34212,183830.033927,1.1211,0.2908,3.8553,0.4671,0.6225
444,2023000,794838.0,442410.143617,1219757.0,4468742.0,1717988.92935,Van Nest-Morris Park-Westchester Square,923150.92935,352427.856383,0.71,0.2575,2.7571,0.4627,0.5566
445,2023100,627884.0,408265.337288,1023341.0,4713910.0,1288622.89362,Mount Hope,660738.89362,219618.662712,0.7941,0.3168,2.5066,0.4873,0.6502
446,2023200,980786.0,477955.211422,1065745.0,5690239.0,1536082.35353,Van Nest-Morris Park-Westchester Square,555296.35353,502830.788578,0.6938,0.3112,2.2298,0.6385,0.4873
447,2023301,768312.0,473395.532924,1870751.0,4996152.0,1272740.91818,Mount Hope,504428.91818,294916.467076,1.4699,0.3719,3.9518,0.6037,0.6162
448,2023302,388278.0,239216.727755,1206368.0,1719450.0,678959.322827,Mount Hope,290681.322827,149061.272245,1.7768,0.3523,5.043,0.5719,0.6161
449,2023501,321868.0,234200.351062,1146753.0,2490399.0,731673.289157,Mount Hope,409805.289157,87667.648938,1.5673,0.3201,4.8965,0.4399,0.7276
450,2023502,533706.0,354446.015132,1628669.0,3670135.0,1034951.04,Mount Hope,501245.04,179259.984868,1.5737,0.3425,4.595,0.5157,0.6641
451,2023600,566948.0,299025.284625,712094.0,3578219.0,989504.938499,Van Nest-Morris Park-Westchester Square,422556.938499,267922.715375,0.7196,0.3022,2.3814,0.573,0.5274
452,2023702,269087.0,228693.712481,815298.0,12372287.0,515656.522316,Bedford Park-Fordham North,246569.522316,40393.287519,1.5811,0.4435,3.565,0.5218,0.8499
453,2023703,598042.0,445406.787465,1724201.0,11875914.0,1071852.25668,Fordham South,473810.25668,152635.212535,1.6086,0.4155,3.8711,0.558,0.7448
454,2023704,437794.0,304832.22603,1362598.0,2964542.0,727296.285392,Fordham South,289502.285392,132961.77397,1.8735,0.4191,4.47,0.6019,0.6963
455,2023800,1270457.0,813698.830702,1431119.0,8165617.0,3654703.11763,Van Nest-Morris Park-Westchester Square,2384246.11763,456758.169298,0.3916,0.2226,1.7588,0.3476,0.6405
456,2023900,1110633.0,806607.492721,2950552.0,13151661.0,1912484.45058,Fordham South,801851.45058,304025.507279,1.5428,0.4218,3.658,0.5807,0.7263
457,2024000,1351117.0,633523.108086,1454963.0,7116357.0,2577349.3278,Van Nest-Morris Park-Westchester Square,1226232.3278,717593.891914,0.5645,0.2458,2.2966,0.5242,0.4689
458,2024100,862915.0,607441.425315,2489793.0,8753031.0,1449100.37575,Mount Hope,586185.37575,255473.574685,1.7182,0.4192,4.0988,0.5955,0.7039
459,2024300,975727.0,558692.125929,2150595.0,6290226.0,1607394.75849,University Heights-Morris Heights,631667.75849,417034.874071,1.3379,0.3476,3.8493,0.607,0.5726
460,2024400,1184714.0,596519.942188,1352925.0,7601280.0,1892754.12975,Van Nest-Morris Park-Westchester Square,708040.12975,588194.057812,0.7148,0.3152,2.268,0.6259,0.5035
461,2024501,747386.0,417841.960014,1860157.0,2712327.0,1232643.23222,University Heights-Morris Heights,485257.23222,329544.039986,1.5091,0.339,4.4518,0.6063,0.5591
462,2024502,723724.0,393058.702841,1485711.0,3151919.0,1071093.82464,University Heights-Morris Heights,347369.82464,330665.297159,1.3871,0.367,3.7799,0.6757,0.5431
463,2024600,982340.0,407172.933538,949477.0,4276839.0,1640625.77887,Pelham Parkway,658285.77887,575167.066462,0.5787,0.2482,2.3319,0.5988,0.4145
464,2024700,842286.0,183737.635616,883756.0,4918779.0,1575216.38074,University Heights-Morris Heights,732930.38074,658548.364384,0.561,0.1166,4.8099,0.5347,0.2181
465,2024800,1428578.0,644072.823481,1760628.0,8689987.0,2992858.72275,Pelham Parkway,1564280.72275,784505.176519,0.5883,0.2152,2.7336,0.4773,0.4508
466,2024900,1613275.0,370133.025177,1204316.0,11025000.0,1880978.17888,University Heights-Morris Heights,267703.17888,1243141.97482,0.6403,0.1968,3.2537,0.8577,0.2294
467,2025000,1269939.0,568069.705537,1310527.0,7449498.0,1955822.49545,Pelham Parkway,685883.49545,701869.294463,0.6701,0.2905,2.307,0.6493,0.4473
468,2025100,1208588.0,685752.732392,2594047.0,6788360.0,2253840.93266,University Heights-Morris Heights,1045252.93266,522835.267608,1.1509,0.3043,3.7828,0.5362,0.5674
469,2025200,1354617.0,656240.684663,1260670.0,7725506.0,2048258.64353,Van Nest-Morris Park-Westchester Square,693641.64353,698376.315337,0.6155,0.3204,1.921,0.6614,0.4844
470,2025300,732473.0,511376.751443,2182578.0,6952168.0,1341945.16951,Kingsbridge Heights,609472.16951,221096.248557,1.6264,0.3811,4.268,0.5458,0.6982
471,2025400,1184829.0,518825.005634,1062287.0,7164362.0,1828910.83048,Van Nest-Morris Park-Westchester Square,644081.83048,666003.994366,0.5808,0.2837,2.0475,0.6478,0.4379
472,2025500,1118280.0,606236.536958,2587353.0,6346336.0,1808913.77533,Kingsbridge Heights,690633.77533,512043.463042,1.4303,0.3351,4.2679,0.6182,0.5421
473,2025600,1053567.0,459769.085055,895631.0,5434456.0,2037862.6359,Van Nest-Morris Park-Westchester Square,984295.6359,593797.914945,0.4395,0.2256,1.948,0.517,0.4364
474,2025700,331281.0,162077.914577,747963.0,1281875.0,1669997.16306,University Heights-Morris Heights,1338716.16306,169203.085423,0.4479,0.0971,4.6148,0.1984,0.4892
475,2026100,1654225.0,305279.002337,2530665.0,11585700.0,1883343.7839,Kingsbridge Heights,229118.7839,1348945.99766,1.3437,0.1621,8.2897,0.8783,0.1845
476,2026300,1115611.0,493503.35564,2619615.0,7482833.0,1715401.29871,Kingsbridge Heights,599790.29871,622107.64436,1.5271,0.2877,5.3082,0.6503,0.4424
477,2026400,2861744.0,1197419.2277,2417503.0,13910448.0,4599539.80942,Schuylerville-Throgs Neck-Edgewater Park,1737795.80942,1664324.7723,0.5256,0.2603,2.0189,0.6222,0.4184
478,2026500,1183660.0,936693.779061,2593647.0,9117297.0,2173748.29161,Kingsbridge Heights,990088.29161,246966.220939,1.1932,0.4309,2.7689,0.5445,0.7914
479,2026601,1068222.0,471502.213552,1623489.0,6856855.0,1832956.45368,Pelham Bay-Country Club-City Island,764734.45368,596719.786448,0.8857,0.2572,3.4432,0.5828,0.4414
480,2026602,2063452.0,1056512.24508,2963673.0,14438920.0,3269676.76334,Pelham Bay-Country Club-City Island,1206224.76334,1006939.75492,0.9064,0.3231,2.8051,0.6311,0.512
481,2026701,462303.0,304923.603035,1535315.0,3063046.0,742841.584935,Van Cortlandt Village,280538.584935,157379.396965,2.0668,0.4105,5.0351,0.6223,0.6596
482,2026702,1005593.0,574031.559179,2767558.0,5103358.0,1819284.59151,Van Cortlandt Village,813691.59151,431561.440821,1.5212,0.3155,4.8213,0.5527,0.5708
483,2026900,1068075.0,495802.781888,1966696.0,5710235.0,4243317.44825,Kingsbridge Heights,3175242.44825,572272.218112,0.4635,0.1168,3.9667,0.2517,0.4642
484,2027300,1343614.0,704215.803187,3284778.0,7119167.0,2120762.72019,Van Cortlandt Village,777148.72019,639398.196813,1.5489,0.3321,4.6644,0.6336,0.5241
485,2027401,4177363.0,1369241.72686,2546460.0,15384006.0,7554416.00071,Pelham Bay-Country Club-City Island,3377053.00071,2808121.27314,0.3371,0.1813,1.8598,0.553,0.3278
486,2027402,4472026.0,1074922.38165,2173275.0,14523044.0,5746687.33981,Pelham Bay-Country Club-City Island,1274661.33981,3397103.61835,0.3782,0.1871,2.0218,0.7782,0.2404
487,2027600,16397391.0,14839.263723,8376.0,94826730.0,19663562.5341,park-cemetery-etc-Bronx,3266171.5341,16382551.7363,0.0004,0.0008,0.5644,0.8339,0.0009
488,2027700,950235.0,439799.709954,1954241.0,4693374.0,1831494.46582,Van Cortlandt Village,881259.46582,510435.290046,1.067,0.2401,4.4435,0.5188,0.4628
489,2027900,1703571.0,734455.899685,3471963.0,8768308.0,2907492.6972,Van Cortlandt Village,1203921.6972,969115.100315,1.1941,0.2526,4.7273,0.5859,0.4311
490,2028100,789846.0,346666.511472,2443236.0,4846929.0,1393875.86821,Van Cortlandt Village,604029.86821,443179.488528,1.7528,0.2487,7.0478,0.5667,0.4389
491,2028300,984080.0,517351.975017,1424582.0,11356448.0,2622382.68456,Spuyten Duyvil-Kingsbridge,1638302.68456,466728.024983,0.5432,0.1973,2.7536,0.3753,0.5257
492,2028400,6111937.0,1372870.41474,4106892.0,58438874.0,12221172.4912,Van Nest-Morris Park-Westchester Square,6109235.4912,4739066.58526,0.336,0.1123,2.9915,0.5001,0.2246
493,2028500,1386348.0,532511.465131,2167102.0,12217341.0,2874317.02399,Spuyten Duyvil-Kingsbridge,1487969.02399,853836.534869,0.754,0.1853,4.0696,0.4823,0.3841
494,2028600,1379849.0,557752.348787,2004962.0,8571078.0,2117837.258,Van Nest-Morris Park-Westchester Square,737988.258,822096.651213,0.9467,0.2634,3.5947,0.6515,0.4042
495,2028700,1099503.0,514015.364226,1721410.0,8757309.0,1670599.1433,Spuyten Duyvil-Kingsbridge,571096.1433,585487.635774,1.0304,0.3077,3.3489,0.6581,0.4675
496,2028800,2347294.0,824645.706445,1878348.0,13288593.0,3616695.4995,Pelham Parkway,1269401.4995,1522648.29355,0.5194,0.228,2.2778,0.649,0.3513
497,2028900,1341779.0,587685.188203,2602305.0,19126682.0,2054653.30614,Spuyten Duyvil-Kingsbridge,712874.30614,754093.811797,1.2665,0.286,4.4281,0.653,0.438
498,2029301,1254711.0,228496.328042,1511529.0,10096248.0,2676687.37899,Spuyten Duyvil-Kingsbridge,1421976.37899,1026214.67196,0.5647,0.0854,6.6151,0.4688,0.1821
499,2029302,2848818.0,818452.53604,4121971.0,30274609.0,4681198.93696,Spuyten Duyvil-Kingsbridge,1832380.93696,2030365.46396,0.8805,0.1748,5.0363,0.6086,0.2873
500,2029500,1311832.0,707193.194013,2909546.0,16461805.0,2551495.36701,Spuyten Duyvil-Kingsbridge,1239663.36701,604638.805987,1.1403,0.2772,4.1142,0.5141,0.5391
501,2029600,3702878.0,1192538.97002,4623937.0,27316774.0,7711394.52589,Pelham Parkway,4008516.52589,2510339.02998,0.5996,0.1546,3.8774,0.4802,0.3221
502,2029700,1434051.0,596891.306607,2914501.0,15494566.0,2498485.63688,Spuyten Duyvil-Kingsbridge,1064434.63688,837159.693393,1.1665,0.2389,4.8828,0.574,0.4162
503,2030000,2902355.0,1253338.05662,3001301.0,17968149.0,4490156.71346,Pelham Bay-Country Club-City Island,1587801.71346,1649016.94338,0.6684,0.2791,2.3946,0.6464,0.4318
504,2030100,1074219.0,267456.436343,1207908.0,7013401.0,1583340.21216,Spuyten Duyvil-Kingsbridge,509121.21216,806762.563657,0.7629,0.1689,4.5163,0.6785,0.249
505,2030200,2566529.0,544275.578278,6540066.0,14605978.0,6063936.62794,Co-op City,3497407.62794,2022253.42172,1.0785,0.0898,12.0161,0.4232,0.2121
506,2030701,3233471.0,863036.078866,4295964.0,24257203.0,4277754.36859,North Riverdale-Fieldston-Riverdale,1044283.36859,2370434.92113,1.0043,0.2017,4.9777,0.7559,0.2669
507,2030900,7233589.0,1046388.90498,3508820.0,47332338.0,13700957.0435,North Riverdale-Fieldston-Riverdale,6467368.0435,6187200.09502,0.2561,0.0764,3.3533,0.528,0.1447
508,2031000,4522527.0,1435632.86331,2535861.0,24032224.0,6834236.08141,Allerton-Pelham Gardens,2311709.08141,3086894.13669,0.3711,0.2101,1.7664,0.6617,0.3174
509,2031200,1436149.0,493992.900755,935458.0,8408225.0,2175834.03682,Allerton-Pelham Gardens,739685.03682,942156.099245,0.4299,0.227,1.8937,0.66,0.344
510,2031400,1473546.0,506625.791415,1032398.0,6470202.0,2272270.79001,Allerton-Pelham Gardens,798724.79001,966920.208585,0.4543,0.223,2.0378,0.6485,0.3438
511,2031600,1221580.0,428161.79581,824663.0,4598505.0,1906941.0868,Allerton-Pelham Gardens,685361.0868,793418.20419,0.4325,0.2245,1.9261,0.6406,0.3505
