,CensusTract,LotArea,FootPrint,FloorSpace,AssessLand,SurfaceArea,Neighborhood,land-lot,lot-fp,s,p,f,l,r
133,1013300,1224891.0,925796.514448,5070459.0,129348861.0,1876725.7388,Clinton,651834.7388,299094.485552,2.7018,0.4933,5.4769,0.6527,0.7558
134,1013400,1274173.0,921435.104146,7510787.0,236693604.0,1956780.7626,Lenox Hill-Roosevelt Island,682607.7626,352737.895854,3.8383,0.4709,8.1512,0.6512,0.7232
135,1013500,1950382.0,1360875.88004,9740730.0,190273546.0,4513475.18656,Clinton,2563093.18656,589506.11996,2.1581,0.3015,7.1577,0.4321,0.6977
136,1013600,1436028.0,1031032.10057,10576433.0,239509089.0,2358422.79807,Yorkville,922394.79807,404995.89943,4.4845,0.4372,10.2581,0.6089,0.718
137,1013700,1365864.0,1147125.66165,16508921.0,902401937.0,2435167.66935,Midtown-Midtown South,1069303.66935,218738.33835,6.7794,0.4711,14.3916,0.5609,0.8399
138,1013800,1275671.0,932854.25705,7720351.0,165466020.0,1959555.68567,Yorkville,683884.68567,342816.74295,3.9398,0.4761,8.2761,0.651,0.7313
139,1013900,1270230.0,995120.307881,8873450.0,212386151.0,1955059.85243,Clinton,684829.85243,275109.692119,4.5387,0.509,8.917,0.6497,0.7834
140,1014000,1182111.0,884803.74346,7698352.0,190094537.0,1925984.22252,Upper East Side-Carnegie Hill,743873.22252,297307.25654,3.9971,0.4594,8.7006,0.6138,0.7485
141,1014200,1171341.0,886026.825333,7811983.0,312953317.0,1927688.28305,Upper East Side-Carnegie Hill,756347.28305,285314.174667,4.0525,0.4596,8.8169,0.6076,0.7564
142,1014401,513817.0,339895.486665,3504925.0,76931018.0,800310.56642,Yorkville,286493.56642,173921.513335,4.3795,0.4247,10.3118,0.642,0.6615
143,1014402,1393735.0,544619.836714,4458112.0,169368403.0,1886948.27811,Yorkville,493213.27811,849115.163286,2.3626,0.2886,8.1857,0.7386,0.3908
144,1014500,1101533.0,854875.953168,10048751.0,415492051.0,1897994.08995,Lincoln Square,796461.08995,246657.046832,5.2944,0.4504,11.7546,0.5804,0.7761
145,1014601,500999.0,408377.202641,2808132.0,85366306.0,799879.808768,Yorkville,298880.808768,92621.797359,3.5107,0.5105,6.8763,0.6263,0.8151
146,1014602,753490.0,545608.532701,5137124.0,102265132.0,1175338.62237,Yorkville,421848.62237,207881.467299,4.3708,0.4642,9.4154,0.6411,0.7241
147,1014700,462238.0,351656.819361,3247900.0,71386124.0,703936.349311,Lincoln Square,241698.349311,110581.180639,4.6139,0.4996,9.236,0.6566,0.7608
148,1014801,336977.0,257166.0388,2916329.0,62512527.0,559216.157816,Upper East Side-Carnegie Hill,222239.157816,79810.9612,5.215,0.4599,11.3403,0.6026,0.7632
149,1014802,828345.0,663441.841243,5829209.0,117427184.0,1351365.00485,Upper East Side-Carnegie Hill,523020.00485,164903.158757,4.3136,0.4909,8.7863,0.613,0.8009
150,1014900,1221302.0,784319.568176,6340265.0,536630984.0,1880349.86996,Lincoln Square,659047.86996,436982.431824,3.3719,0.4171,8.0838,0.6495,0.6422
151,1015001,331035.0,259951.907357,2826748.0,83174994.0,556354.416814,Upper East Side-Carnegie Hill,225319.416814,71083.092643,5.0808,0.4672,10.8741,0.595,0.7853
152,1015002,814025.0,593274.283117,7035532.0,184096825.0,1352593.38437,Upper East Side-Carnegie Hill,538568.38437,220750.716883,5.2015,0.4386,11.8588,0.6018,0.7288
153,1015100,1439642.0,870603.334175,8253541.0,187752535.0,3579761.10442,Lincoln Square,2140119.10442,569038.665825,2.3056,0.2432,9.4803,0.4022,0.6047
154,1015200,1240371.0,482825.312689,4323430.0,147422818.0,1913189.43076,Yorkville,672818.43076,757545.687311,2.2598,0.2524,8.9544,0.6483,0.3893
155,1015300,1148331.0,903234.944161,9207380.0,322910072.0,1872392.64555,Lincoln Square,724061.64555,245096.055839,4.9174,0.4824,10.1938,0.6133,0.7866
156,1015400,1337999.0,806244.171123,8079585.0,170359799.0,1909222.24485,Yorkville,571223.24485,531754.828877,4.2319,0.4223,10.0213,0.7008,0.6026
157,1015500,1211461.0,407737.491834,7855483.0,162827564.0,2035791.20349,Lincoln Square,824330.20349,803723.508166,3.8587,0.2003,19.266,0.5951,0.3366
158,1015601,477177.0,319253.342036,2961212.0,63601276.0,791936.098989,Yorkville,314759.098989,157923.657964,3.7392,0.4031,9.2754,0.6025,0.669
159,1015602,765512.0,283113.682695,2196416.0,24788729.0,1169910.75402,East Harlem South,404398.75402,482398.317305,1.8774,0.242,7.7581,0.6543,0.3698
160,1015700,1252110.0,921826.521429,8180370.0,243292818.0,1967465.56483,Lincoln Square,715355.56483,330283.478571,4.1578,0.4685,8.8741,0.6364,0.7362
161,1015801,829319.0,563474.688843,4525345.0,89926673.0,1352987.6138,Upper East Side-Carnegie Hill,523668.6138,265844.311157,3.3447,0.4165,8.0311,0.613,0.6794
162,1015802,269395.0,181195.946423,2060738.0,13990188.0,551658.976971,East Harlem South,282263.976971,88199.053577,3.7355,0.3285,11.373,0.4883,0.6726
163,1015900,980518.0,692221.741059,7620381.0,159835287.0,1867947.75475,Lincoln Square,887429.75475,288296.258941,4.0795,0.3706,11.0086,0.5249,0.706
164,1016001,829145.0,644391.340955,4959651.0,162514814.0,1352676.79678,Upper East Side-Carnegie Hill,523531.79678,184753.659045,3.6665,0.4764,7.6966,0.613,0.7772
