,CensusTract,LotArea,FootPrint,FloorSpace,SurfaceArea,ct_density,dist_from_esb,Neighborhood,floorarea_sqft,s,p,f,l,r
32,1003602,455836.0,357997.430411,1741878.0,961070.463813,1.90275018207,2497.60459545,East Village,1828677,1.8124,0.3725,4.8656,0.4743,0.7854
33,1003700,2300089.0,1663246.91405,13349599.0,4121299.35958,3.48130862337,2652.60435877,SoHo-TriBeCa-Civic Center-Little Italy,14347515,3.2392,0.4036,8.0262,0.5581,0.7231
34,1003800,1357654.0,1031519.38937,5192910.0,2180883.75363,2.33295424001,2054.66999762,East Village,5087902,2.3811,0.473,5.0342,0.6225,0.7598
35,1003900,1807251.0,1352491.97792,10902091.0,3451489.35861,3.33618064656,3286.91653182,SoHo-TriBeCa-Civic Center-Little Italy,11514792,3.1587,0.3919,8.0607,0.5236,0.7484
36,1004000,1184334.0,841084.769799,4361408.0,1927667.4675,2.26757419197,1682.36420421,East Village,4371129,2.2625,0.4363,5.1855,0.6144,0.7102
37,1004100,1231099.0,1053894.38644,4930309.0,2058843.42851,2.42996574228,3054.68245425,SoHo-TriBeCa-Civic Center-Little Italy,5002919,2.3947,0.5119,4.6782,0.598,0.8561
38,1004200,513284.0,424242.735258,2417162.0,933479.974503,2.69424847741,1590.93321957,East Village,2515027,2.5894,0.4545,5.6976,0.5499,0.8265
39,1004300,950937.0,794077.912922,4909566.0,1605585.14064,3.09392561893,2713.98553433,SoHo-TriBeCa-Civic Center-Little Italy,4967561,3.0578,0.4946,6.1827,0.5923,0.835
40,1004400,2675000.0,725800.883649,8942176.0,4277884.20661,2.09050211929,1573.59555914,Stuyvesant Town-Cooper Village,8942926,2.0903,0.1697,12.3204,0.6253,0.2713
41,1004500,637692.0,606579.603527,3419517.0,1129524.58963,3.07156571167,3028.08064842,SoHo-TriBeCa-Civic Center-Little Italy,3469409,3.0274,0.537,5.6374,0.5646,0.9512
42,1004700,990877.0,884150.08275,4708782.0,1780550.84355,2.76608725768,2971.35037571,SoHo-TriBeCa-Civic Center-Little Italy,4925159,2.6446,0.4966,5.3258,0.5565,0.8923
43,1004800,1189127.0,755846.905682,5027856.0,1920810.66835,2.65715829472,1336.77865614,Gramercy,5103898,2.6176,0.3935,6.652,0.6191,0.6356
44,1004900,1440995.0,1238510.04202,7219080.0,2216135.00606,3.32539217144,2654.1773172,SoHo-TriBeCa-Civic Center-Little Italy,7369518,3.2575,0.5589,5.8288,0.6502,0.8595
45,1005000,926139.0,786101.662151,7064938.0,1794154.32209,3.93775380022,1063.26838185,Gramercy,7064938,3.9378,0.4381,8.9873,0.5162,0.8488
46,1005200,1010538.0,839150.013801,7693157.0,1815428.87494,4.30400998236,991.132576258,Hudson Yards-Chelsea-Flatiron-Union Square,7813624,4.2377,0.4622,9.1678,0.5566,0.8304
47,1005400,1174913.0,1048717.08851,9324285.0,1808932.73001,5.24444211916,987.591831554,Hudson Yards-Chelsea-Flatiron-Union Square,9486843,5.1546,0.5797,8.8911,0.6495,0.8926
48,1005501,865663.0,521645.864531,2997363.0,1338496.7508,2.01081026038,2274.09645321,West Village,2691463,2.2394,0.3897,5.746,0.6467,0.6026
49,1005502,634044.0,567310.121364,3639341.0,1243017.21891,2.97377698697,2334.2017945,West Village,3696456,2.9278,0.4564,6.4151,0.5101,0.8947
50,1005600,1169024.0,765008.559355,11024213.0,1878242.46179,6.15853343502,434.432924119,Hudson Yards-Chelsea-Flatiron-Union Square,11567219,5.8694,0.4073,14.4106,0.6224,0.6544
51,1005700,671486.0,595493.207504,6017014.0,1155301.61546,5.22195842131,1913.1668443,West Village,6032937,5.2082,0.5154,10.1043,0.5812,0.8868
52,1005800,1087481.0,1017246.63958,10129701.0,1879690.3674,5.60003454961,426.503613274,Hudson Yards-Chelsea-Flatiron-Union Square,10526331,5.389,0.5412,9.958,0.5785,0.9354
53,1005900,733465.0,592044.044751,4826402.0,1250316.2411,4.10480311404,1856.09238839,West Village,5132302,3.8601,0.4735,8.1521,0.5866,0.8072
54,1006000,828650.0,204280.52746,3122165.0,1296018.23635,2.54407299799,1425.46044341,Stuyvesant Town-Cooper Village,3297165,2.409,0.1576,15.2837,0.6394,0.2465
55,1006100,936006.0,818180.014897,5799182.0,1528892.45318,3.81221058936,1530.32771754,West Village,5828460,3.7931,0.5351,7.0879,0.6122,0.8741
56,1006200,2513373.0,1173475.20789,8546472.0,3174474.57977,2.88944635388,1149.02171219,Murray Hill-Kips Bay,9172474,2.6922,0.3697,7.283,0.7917,0.4669
57,1006300,1292985.0,994680.880484,6761970.0,1918265.58446,3.46608835287,1528.17030994,West Village,6648878,3.525,0.5185,6.7981,0.674,0.7693
58,1006400,1151376.0,855921.703885,6779804.0,1938624.43131,3.55516668865,1021.14922618,Gramercy,6892133,3.4972,0.4415,7.9211,0.5939,0.7434
59,1006500,1410675.0,787717.441478,4226810.0,2167562.30808,1.96319985088,2101.5116178,West Village,4255358,1.95,0.3634,5.3659,0.6508,0.5584
60,1006600,1094925.0,690278.591479,6544814.0,1880536.44977,3.60794867913,785.047383794,Murray Hill-Kips Bay,6784879,3.4803,0.3671,9.4814,0.5822,0.6304
61,1006700,1030477.0,753288.203553,3666019.0,1812910.94853,2.04187304567,2215.7827151,West Village,3701734,2.0222,0.4155,4.8667,0.5684,0.731
62,1006800,1121058.0,971469.235248,8637644.0,1877721.06529,4.62884885336,580.077333331,Gramercy,8691687,4.6001,0.5174,8.8913,0.597,0.8666
63,1006900,1802902.0,1054387.3667,4038050.0,2350820.99482,1.71851026042,2441.96280442,West Village,4039910,1.7177,0.4485,3.8298,0.7669,0.5848
64,1007000,1232588.0,745302.204496,5702897.0,1908709.28103,2.99301892477,703.728224721,Murray Hill-Kips Bay,5712803,2.9878,0.3905,7.6518,0.6458,0.6047
65,1007100,1059115.0,798581.055075,4848719.0,1775750.82775,2.73574024243,1545.33697604,West Village,4857993,2.7305,0.4497,6.0717,0.5964,0.754
66,1007200,1079309.0,835420.273747,9742394.0,1877428.85493,5.20534718231,392.673486498,Murray Hill-Kips Bay,9772669,5.1892,0.445,11.6617,0.5749,0.774
67,1007300,1133458.0,852524.522693,3822737.0,1778348.4359,2.15337440217,1911.81629399,West Village,3829450,2.1496,0.4794,4.484,0.6374,0.7521
68,1007400,1051262.0,937992.251483,11820661.0,1879420.36101,6.570907316,82.071638866,Midtown-Midtown South,12349497,6.2895,0.4991,12.6021,0.5594,0.8923
69,1007500,832339.0,630786.481719,3420511.0,1778074.50241,1.98858427766,2150.99029121,West Village,3535851,1.9237,0.3548,5.4226,0.4681,0.7578
70,1007600,1083981.0,1005243.20425,11661287.0,1873515.08743,6.24307062082,0.0,Midtown-Midtown South,11696487,6.2243,0.5366,11.6005,0.5786,0.9274
71,1007700,1097958.0,803120.148724,4128446.0,1923634.67585,2.14829148792,1609.62574144,West Village,4132528,2.1462,0.4175,5.1405,0.5708,0.7315
72,1007800,901139.0,622005.235094,6379288.0,1912109.70601,3.52496720184,705.348177954,Murray Hill-Kips Bay,6740124,3.3363,0.3253,10.256,0.4713,0.6902
73,1007900,1914595.0,1055932.40217,5011454.0,2979133.70568,1.92897048865,1842.4664275,West Village,5746661,1.6822,0.3544,4.746,0.6427,0.5515
74,1008000,1004836.0,788372.379033,10837264.0,1855976.7105,6.51085648416,415.864354048,Murray Hill-Kips Bay,12083998,5.8391,0.4248,13.7464,0.5414,0.7846
75,1008100,1224009.0,967802.425759,6645877.0,1876262.63754,3.56242184131,1232.37210111,Hudson Yards-Chelsea-Flatiron-Union Square,6684039,3.5421,0.5158,6.867,0.6524,0.7907
76,1008200,1100284.0,972559.071657,14546495.0,1856719.40603,7.90108077309,157.740233386,Murray Hill-Kips Bay,14670090,7.8345,0.5238,14.9569,0.5926,0.8839
77,1008300,1045743.0,828475.71148,5543887.0,1872963.18444,3.54930468214,1439.24680268,Hudson Yards-Chelsea-Flatiron-Union Square,6647717,2.96,0.4423,6.6917,0.5583,0.7922
78,1008400,1026759.0,864121.5135,9185663.0,1862741.82427,4.99365069212,134.498661427,Midtown-Midtown South,9301882,4.9313,0.4639,10.6301,0.5512,0.8416
79,1008601,204037.0,145713.4574,2042552.0,1221384.83604,2.38097274028,1150.3092323,Turtle Bay-East Midtown,2908084,1.6723,0.1193,14.0176,0.1671,0.7142
80,1008602,659375.0,348330.416938,2400000.0,1075371.26268,2.23178736804,1339.75669938,Turtle Bay-East Midtown,2400000,2.2318,0.3239,6.89,0.6132,0.5283
81,1008603,689045.0,456290.70945,5183151.0,1253784.29127,4.13400537564,1641.87967104,Turtle Bay-East Midtown,5183151,4.134,0.3639,11.3593,0.5496,0.6622
82,1008700,1150658.0,962152.62795,6270714.0,1780833.95782,3.52122328556,937.928751092,Hudson Yards-Chelsea-Flatiron-Union Square,6270714,3.5212,0.5403,6.5174,0.6461,0.8362
83,1008800,982207.0,772263.147279,12404194.0,1946103.25302,6.58099357273,834.347085635,Turtle Bay-East Midtown,12807293,6.3739,0.3968,16.0621,0.5047,0.7863
84,1008900,1137546.0,725437.976324,3773662.0,1782674.05643,2.12423128409,1196.56801424,Hudson Yards-Chelsea-Flatiron-Union Square,3786812,2.1169,0.4069,5.2019,0.6381,0.6377
85,1009000,1189343.0,890141.290301,12721773.0,1906164.21271,6.73202492967,1107.58334512,Turtle Bay-East Midtown,12832345,6.674,0.467,14.2919,0.6239,0.7484
86,1009100,1181467.0,1069307.26281,8353970.0,1927040.21793,4.50737141819,626.773689075,Hudson Yards-Chelsea-Flatiron-Union Square,8685886,4.3351,0.5549,7.8125,0.6131,0.9051
87,1009200,1085191.0,891151.47469,14978939.0,2118430.76118,7.08139641611,764.024816027,Turtle Bay-East Midtown,15001448,7.0708,0.4207,16.8085,0.5123,0.8212
