BoroCT2010,LotArea,FP
1007700,1112146.0,818602.834993
1007800,1064076.0,678360.843955
1007900,1971132.0,1102368.12403
1008000,1135728.0,911476.610631
1008100,1246132.0,989092.547213
1008200,1132991.0,1003938.80003
1008300,1048774.0,830174.355885
1008400,1114963.0,931453.398806
1008601,278074.0,175071.109327
1008602,661909.0,350608.268719
1008603,689045.0,456290.70945
1008700,1193623.0,986329.564317
1008800,1027758.0,843886.849511
1008900,1159765.0,742047.882935
1009000,1195524.0,893256.313154
1009100,1206062.0,1084096.54826
1009200,1469744.0,1270946.33827
1009300,1224016.0,655666.401295
1009400,1013734.0,904429.31852
1009500,1184782.0,1042287.42236
1009600,1289119.0,1171683.49653
1009700,1331763.0,646758.96773
1009800,1224773.0,911251.554793
1009900,8827150.0,4171478.17788
1010000,1145493.0,965828.852828
1010100,1266822.0,1028380.28571
1010200,1129690.0,996224.052219
1010300,848656.0,822591.602536
1010400,1248575.0,1056518.81945
1010601,763759.0,500255.931829
1010602,716730.0,417814.762312
1010800,1205889.0,973728.326649
1010900,1186103.0,1142254.87222
1011000,1040872.0,757830.058249
1011100,931806.0,795260.504672
1011201,508026.0,446370.188152
1011202,496303.0,437199.110129
1011203,490030.0,435115.572016
1011300,1119607.0,1050929.91806
1011401,660506.0,551685.900412
1011402,664144.0,535937.180017
1011500,882547.0,807686.91208
1011600,1350699.0,955241.615185
1011700,2240528.0,1395121.82955
1011800,1180240.0,828426.107273
1011900,1196891.0,1129465.90725
1012000,1154383.0,897304.590227
1012100,1194460.0,932930.297653
1012200,1155448.0,937435.69761
1012400,1154190.0,968436.85928
1012500,1182349.0,992475.722512
1012600,1277516.0,938062.29326
1012700,1221593.0,920932.841049
1012800,1166207.0,889031.39394
1012900,3904171.0,1935977.55009
1013000,1150408.0,920732.324652
1013100,1208547.0,1048016.04594
1013200,1239366.0,787943.564213
1013300,1249593.0,944053.484485
1013400,1310078.0,954114.507643
1013500,3432447.0,1936293.54536
1013600,1452427.0,1041924.74402
1013700,1408891.0,1188335.26127
1013800,1285891.0,940899.039556
1013900,1289348.0,1011796.97577
1014000,1192956.0,891798.943285
1014200,1171341.0,886026.825333
1014300,36590000.0,775257.651501
1014401,513817.0,339895.486665
1014402,1393735.0,544619.836714
1014500,1111175.0,854908.429662
1014601,509223.0,416351.395644
1014602,761241.0,551931.726336
1014700,462238.0,351656.819361
1014801,336977.0,257166.0388
1014802,836128.0,668510.353701
1014900,1257244.0,811787.164943
1015001,336255.0,264927.258965
1015002,814025.0,593274.283117
1015100,1660083.0,1056689.02119
1015200,1379420.0,514582.145805
1015300,1150021.0,904245.30414
1015400,1337999.0,806244.171123
1015500,1805425.0,415219.333859
1015601,494789.0,330979.111978
1015602,817937.0,291583.004005
1015700,1284108.0,943826.796613
1015801,829319.0,563474.688843
1015802,294624.0,204215.306807
1015900,1008490.0,713508.862369
1016001,829145.0,644391.340955
1016002,330980.0,242975.491445
1016100,1139728.0,761943.675377
1016200,1779900.0,650527.281369
1016300,2727715.0,701705.533346
1016400,1254893.0,478153.47335
1016500,1555355.0,900362.059344
1016600,1058161.0,681035.828757
1016700,4123714.0,623463.220813
1016800,1339748.0,664782.957291
1016900,1303592.0,906632.51033
1017000,1278014.0,581595.858314
1017100,1005427.0,760683.126288
1017200,999052.0,614060.400402
1017300,1238958.0,827953.420662
1017401,625110.0,331417.657719
1017402,228385.0,148617.555361
1017500,2031448.0,760790.744054
1017700,1287135.0,776585.386477
1017800,1675655.0,780768.863022
1017900,1929067.0,668601.668594
1018000,1549805.0,619448.636023
1018100,945887.0,574252.927674
1018200,1168069.0,620677.494271
1018300,1972762.0,668735.426019
1018400,1196591.0,481780.692204
1018500,938243.0,349423.051668
1018600,928204.0,291979.672008
1018700,891957.0,641640.389645
1018800,930809.0,644037.322016
1018900,2019297.0,798292.528435
1019000,703238.0,446960.011067
1019100,1944654.0,632726.799365
1019200,1041816.0,238278.902137
1019300,1167389.0,731309.272589
1019400,1202383.0,536037.825099
1019500,3687339.0,621027.334806
1019600,1009993.0,664325.9674
1019701,2004403.0,272162.206227
1019702,317364.0,179712.624942
1019800,1620802.0,519606.221211
1019900,949485.0,680100.386181
1020000,810318.0,585144.882795
1020101,363012.0,306947.520351
1020102,509739.0,352115.310756
1020300,1439937.0,697492.526801
1020500,3600284.0,510011.688133
1020600,846231.0,550110.332933
1020701,306206.0,209635.064682
1020800,1000845.0,591082.909051
1020901,776282.0,328525.374833
1021000,1035049.0,264465.370372
1021100,4350056.0,754384.269063
1021200,1280445.0,658227.722656
1021303,1035499.0,694176.008813
1021400,1003585.0,316620.738894
1021500,404377.0,249672.798833
1021600,1055474.0,719781.448706
1021703,2491992.0,755402.40001
1021800,1103120.0,735163.975969
1021900,1428714.0,725223.743033
1022000,1159516.0,760643.331368
1022102,544341.0,366154.208518
1022200,1133971.0,870368.163447
1022301,1171789.0,1719469.07472
1022302,576662.0,216685.375029
1022400,1115917.0,599247.361422
1022500,991885.0,1826460.09242
1022600,929895.0,586665.678303
1022700,998164.0,662449.314568
1022800,1160424.0,739011.271695
1022900,1389110.0,624365.832867
1023000,1123206.0,675521.619183
1023100,1506100.0,642436.388988
1023200,1149946.0,693803.78653
1023300,1780509.0,602884.170796
1023400,731791.0,495983.300649
1023501,1421892.0,561975.791966
1023502,236222.0,169982.357456
1023600,1711113.0,672028.654593
1023700,1519465.0,588088.750109
1023801,5284555.0,1237513.78293
1023802,4721863.0,899705.287481
1023900,397710.0,202629.614418
1024000,25664590.0,1562505.54219
1024100,972588.0,639966.652971
1024200,1204671.0,664663.32317
1024301,646925.0,371564.524829
1024302,1511932.0,251037.486807
1024500,1362301.0,944494.330281
1024700,1069861.0,639166.67258
1024900,336260.0,169046.404076
1025100,943016.0,673021.735759
1025300,1066006.0,766969.693113
1025500,1700972.0,992581.477842
1025700,878782.0,637817.044382
1025900,424279.0,304878.539975
1026100,908299.0,651735.681986
1026300,912435.0,716033.113778
1026500,841065.0,636640.40636
1026700,328319.0,196154.306975
1026900,1045186.0,779871.84125
1027100,1242076.0,851133.608353
1027300,1253008.0,666796.792526
1027500,2452774.0,249946.235775
1027700,1164483.0,575038.668606
1027900,1175487.0,714483.642509
1028100,3340862.0,287164.006412
1028300,1085114.0,505843.436374
1028500,826202.0,543548.389045
1028700,5506077.0,581633.215342
1029100,1279075.0,810401.758444
1029300,1025263.0,686516.641454
1029500,922136.0,580429.640448
1029700,12557200.0,209508.925305
1029900,2531879.0,1642943.14133
1030300,656878.0,451266.696956
1030700,538931.0,328802.852364
1030900,3216049.0,1192504.44664
1031100,5539050.0,37813.1557474
1031703,3504375.0,836926.362277
1031704,4338851.0,600745.62306
1031900,945425.0,40707.4851031
2000100,17825000.0,3627904.49173
2000200,2419552.0,1020494.84277
2000400,7379435.0,1172054.65972
2001600,2919642.0,862223.424742
2001900,11273800.0,4017346.00807
2002000,2989330.0,937612.710534
2002300,821949.0,176529.575061
2002400,4862000.0,6682.40264458
2002500,782821.0,409666.219555
2002701,544627.0,194137.32025
2002702,958075.0,596029.1256
2002800,1969542.0,614726.727794
2003100,742872.0,601563.264862
2003300,1013276.0,462798.008157
2003500,942682.0,569138.169234
2003700,1581021.0,46653.2087207
2003800,405320.0,160584.224448
2003900,1423642.0,741549.183434
2004001,874219.0,329155.167902
2004100,1278619.0,503896.257464
2004200,3704821.0,861801.888266
2004300,1478339.0,841061.949791
2004400,1872130.0,381254.719632
2004600,926456.0,284224.553773
2004800,697883.0,368018.056631
2005001,722703.0,410381.970107
2005002,812519.0,550894.848853
2005100,2766315.0,1374928.85126
2005200,1214074.0,668493.871772
2005300,856800.0,130939.798956
2005400,1339577.0,806267.072713
2005600,999406.0,456705.971064
2005902,416046.0,252442.601362
2006000,661399.0,412520.336722
2006100,1719223.0,687903.031377
2006200,1240181.0,445600.769438
2006300,6045323.0,2848917.66218
2006400,998761.0,483506.7129
2006500,1831448.0,1167178.54402
2006700,1418949.0,647260.286659
2006800,969410.0,411955.396795
2006900,1320289.0,551264.691299
2007000,1468332.0,702730.392287
2007100,1594826.0,718854.826317
2007200,1441991.0,688264.729572
2007300,938430.0,446709.277084
2007400,1434410.0,387775.621564
2007500,1399905.0,626406.975928
2007600,1430467.0,772881.936688
2007700,759153.0,398910.93086
2007800,1963577.0,920010.817681
2007900,1248087.0,522527.953656
2008300,1388798.0,822489.975778
2008400,1082638.0,383921.935108
2008500,1211054.0,743927.180061
2008600,1472413.0,293710.885401
2008700,1347400.0,599858.764143
2008900,640213.0,404586.534749
2009000,6851402.0,2204222.99262
2009200,1826294.0,910989.631576
2009300,14306306.0,7132278.25402
2009600,4790503.0,2211701.44993
2009800,3037720.0,1059308.83957
2011000,7819481.0,170186.223925
2011502,1766094.0,989555.634351
2011700,14350263.0,3084951.65134
2011800,12121160.0,1822893.45442
2011900,1130528.0,611567.053314
2012101,725923.0,415609.083096
2012102,285030.0,211409.622326
2012300,1121749.0,604458.871998
2012500,985306.0,545338.18809
2012701,635255.0,346876.883535
2012901,934341.0,517287.284794
2013000,722660.0,265877.837064
2013100,1446713.0,675177.636449
2013200,4385937.0,1442466.65103
2013300,1244845.0,365238.230666
2013500,1125303.0,399344.808358
2013800,3730428.0,983828.211575
2014100,906714.0,502903.131398
2014300,556894.0,362719.868978
2014400,3015550.0,617397.614111
2014500,1173210.0,535416.705553
2014701,1060666.0,298171.159862
2014702,890088.0,211664.122538
2014900,1083338.0,520877.100552
2015100,1284436.0,670596.536329
2015200,1737236.0,697128.522697
2015300,1511524.0,586583.159486
2015500,721809.0,377564.92325
2015700,1351408.0,762759.203861
2015800,1089422.0,454353.751129
2015900,743854.0,367136.329545
2016000,3325519.0,1041838.02176
2016100,1522976.0,904580.636077
2016200,1305756.0,495452.562757
2016300,5513500.0,33367.8949481
2016400,1144329.0,469130.180739
2016500,886541.0,581013.294769
2016600,1652264.0,604728.642434
2016700,1205204.0,781405.916568
2016900,556835.0,232569.433508
2017100,1648310.0,7206.93298651
2017300,1040126.0,524182.211537
2017500,1017254.0,615617.851273
2017701,701504.0,434386.157488
2017702,883301.0,540178.209763
2017901,499946.0,314685.002723
2017902,331461.0,230949.669349
2018101,544831.0,351664.635924
2018102,581405.0,397057.351873
2018301,412872.0,292870.907875
2018302,787615.0,508921.668403
2018400,2957159.0,1090553.5796
2018500,2346481.0,1386715.60513
2018900,2255150.0,983107.019661
2019300,1976950.0,584937.468689
2019400,3141748.0,663569.097675
2019500,1134426.0,726763.295664
2019700,902308.0,598074.694864
2019900,1137219.0,707697.040635
2020000,1984027.0,1170546.85832
2020100,698830.0,370692.984302
2020200,849256.0,438202.178069
2020400,909632.0,466722.541453
2020501,1099586.0,397735.09483
2020502,665563.0,309356.611941
2020601,1000771.0,508349.932437
2020900,813297.0,548686.679993
2021001,3211926.0,537562.088842
2021002,201919.0,407170.109799
2021100,879748.0,513458.040677
2021200,9273.0,314047.344817
2021301,210691.0,150340.786906
2021302,940757.0,540274.680047
2021501,630350.0,373221.319354
2021502,941242.0,553392.064965
2021601,1020168.0,547279.791211
2021602,369777.0,541735.777106
2021700,885997.0,587955.198448
2021800,1625358.0,744623.206082
2021900,758954.0,608286.867231
2022000,685078.0,465791.059021
2022101,428128.0,298030.214684
2022102,514242.0,347427.848509
2022200,1437302.0,756873.32164
2022300,613253.0,426772.491107
2022401,433835.0,295220.494842
2022403,442738.0,324953.347155
2022404,729904.0,444496.869291
2022500,1149722.0,634195.210552
2022701,592688.0,423681.634546
2022702,180483.0,127481.635805
2022703,213670.0,157532.011023
2022800,1160291.0,607926.621455
2022901,657888.0,435923.0394
2022902,501649.0,306608.412974
2023000,810468.0,444833.776093
2023100,652196.0,430499.761018
2023200,1003630.0,482669.717851
2023301,768312.0,473395.532924
2023302,388278.0,239216.727755
2023501,321868.0,234200.351062
2023502,533706.0,354446.015132
2023600,575152.0,301134.495515
2023702,269087.0,228693.712481
2023703,607042.0,451883.360149
2023704,437794.0,304832.22603
2023800,1318817.0,1078024.28681
2023900,1122010.0,809460.182159
2024000,1379508.0,642947.438281
2024100,867540.0,608236.669899
2024300,1100727.0,558978.811493
2024400,1188964.0,597053.037362
2024501,750292.0,418564.794688
2024502,725755.0,394323.666247
2024600,999230.0,410074.43155
2024700,845286.0,184375.483026
2024800,1433964.0,646894.370186
2024900,1613275.0,370133.025177
2025000,1282189.0,569991.553817
2025100,1292246.0,695292.607335
2025200,1361750.0,657115.559362
